"","...1","record","species_code","group","run_name","scientific_name.x","common_name","breeding_date_source","breeding_start_dt","breeding_end_dt","nonbreeding_start_dt","nonbreeding_end_dt","postbreeding_migration_start_dt","postbreeding_migration_end_dt","prebreeding_migration_start_dt","prebreeding_migration_end_dt","year_round_start_dt","year_round_end_dt","Credibility Code","Sample Size","Precision","Abundance","Significance","AOU","Region","common_name.y","Region Name","Model","N Routes","Trend","2.5%CI","97.5%CI","Relative Abundance","SpecID","PassNonPass","IOCOrder","Family","BLFamilyEnglish","scientific_name.y","Data","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","understory","midhigh","canopy","aerial","PelagicSpecialist","ForStrat.SpecLevel","Nocturnal","size","AB_mig","eBird_mig","AB_diet","sw_diet","AB_foraging","sw_foraging","Eastern.Western","Forest.Type","BodyMass-Value","Source_BM","date_dif","days_div"
"1",78,131,"houwre","migrant","houwre-ERD2018-EBIRD_SCIENCE-20191103-874cf29a","Troglodytes aedon","House Wren","ebird",2018-06-07,2018-08-10,2018-01-11,2018-02-22,2018-08-17,2018-01-04,2018-03-01,2018-05-31,"NA","NA","NA","NA","NA","NA","1",7210,"SU1","House Wren","Survey-wide","Dh",3159,0.48,0.3,0.65,5.84,"9753","Passeriformes","Passeriformes","Troglodytidae","Wrens","Troglodytes aedon","1","80","0","0","0","0","0","0","0","0","20","Invertebrate","0","0","0","100","0","0","0","0","1","0","10.85",NA,"N","NA","I","NA","F","NA","NA",10.85,"Elton",298,99
"2",134,228,"refwar","migrant","refwar-ERD2018-EBIRD_SCIENCE-20191112-5b51b6e3","Cardellina rubrifrons","Red-faced Warbler","ebird",2018-05-17,2018-08-24,2018-09-21,2018-03-22,2018-08-31,2018-09-14,2018-03-29,2018-05-10,"NA","NA","NA","NA","NA","NA","NA",6900,"SUR","Red-faced Warbler","Survey-wide","Dh",12,-1.422,-4.43,-0.307,4.423,"12754","Passeriformes","Passeriformes","Parulidae","New World warblers","Cardellina rubrifrons","0","100","0","0","0","0","0","0","0","0","0","Invertebrate","0","0","0","0","100","0","0","0","1","0","8.1",NA,"N","NA","I","NA","F","NA","Tropical",8.1,"Elton",263,88
"3",8,76,"bncfly","migrant","bncfly-ERD2018-EBIRD_SCIENCE-20191111-da4c5812","Myiarchus tyrannulus","Brown-crested Flycatcher","ebird",2018-05-10,2018-07-06,2018-10-12,2018-03-15,2018-07-13,2018-10-05,2018-03-22,2018-05-03,"NA","NA","NA","NA","NA","NA","1",4530,"SU1","Brown-crested Flycatcher","Survey-wide","Dh",100,2.31,1.06,3.5,2.61,"6169","Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers","Myiarchus tyrannulus","0","70","0","10","0","0","0","20","0","0","0","Invertebrate","0","0","20","80","0","0","0","0","1","0","35.450000000000003",NA,"N","NA","I","NA","F","NA","NA",35.45,"Elton",305,102
"4",5,29,"calhum","migrant","calhum-ERD2018-EBIRD_SCIENCE-20191108-94492fdc","Selasphorus calliope","Calliope Hummingbird","ebird",2018-05-31,2018-06-21,2018-10-19,2018-03-08,2018-06-28,2018-10-12,2018-03-15,2018-05-24,"NA","NA","Y","NA","NA","Y","NA",4360,"SU1","Calliope Hummingbird","Survey-wide","Dh",221,-0.23,-1.12,0.65,0.2,"2799","Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds","Stellula calliope","0","10","0","0","0","0","0","0","90","0","0","FruiNect","0","0","0","80","20","0","0","0","1","0","2.64",NA,"N","NA","N","NA","F","Western","Temperate",2.64,"Elton",341,114
"5",6,187,"louwat","migrant","louwat-ERD2018-EBIRD_SCIENCE-20191109-6059161a","Parkesia motacilla","Louisiana Waterthrush","ebird",2018-05-31,2018-06-21,2018-10-19,2018-02-08,2018-06-28,2018-10-12,2018-02-15,2018-05-24,"NA","NA","Y","NA","NA","Y","1",6760,"SU1","Louisiana Waterthrush","Survey-wide","Dh",986,0.4,0.07,0.73,0.22,"12727","Passeriformes","Passeriformes","Parulidae","New World warblers","Seiurus motacilla","0","80","0","10","10","0","0","0","0","0","0","Invertebrate","0","0","50","50","0","0","0","0","1","0","19.899999999999999",NA,"N","NA","I","NA","G","Eastern","Temperate",19.9,"Elton",341,114
"6",59,177,"orcori","migrant","orcori-ERD2018-EBIRD_SCIENCE-20191029-9e8c4003","Icterus spurius","Orchard Oriole","ebird",2018-05-31,2018-06-28,2018-10-19,2018-03-15,2018-07-06,2018-10-12,2018-03-22,2018-05-24,"NA","NA","NA","NA","NA","NA","2",5060,"SU1","Orchard Oriole","Survey-wide","Dh",2142,-1.11,-1.34,-0.91,2.35,"13384","Passeriformes","Passeriformes","Icteridae","New World blackbirds","Icterus spurius","1","40","0","0","0","0","0","20","30","0","10","Omnivore","0","0","30","50","20","0","0","0","1","0","19.440000000000001",NA,"N","NA","F","NA","F","Eastern","Temperate",19.44,"Elton",334,111
"7",61,201,"kenwar","migrant","kenwar-ERD2018-EBIRD_SCIENCE-20191028-5f77e2b0","Geothlypis formosa","Kentucky Warbler","ebird",2018-06-07,2018-08-03,2018-10-19,2018-03-22,2018-08-10,2018-10-05,2018-03-29,2018-05-31,"NA","NA","NA","NA","NA","NA","2",6770,"SU1","Kentucky Warbler","Survey-wide","Dh",1056,-0.66,-0.99,-0.33,1.48,"12728","Passeriformes","Passeriformes","Parulidae","New World warblers","Oporornis formosus","0","80","0","0","0","0","0","10","0","10","0","Invertebrate","0","0","80","20","0","0","0","0","1","0","14",NA,"N","NA","I","NA","G","Eastern","Temperate",14,"Elton",305,102
"8",112,197,"virwar","migrant","virwar-ERD2018-EBIRD_SCIENCE-20191108-2b65211b","Leiothlypis virginiae","Virginia's Warbler","ebird",2018-05-31,2018-07-27,2018-10-19,2018-03-22,2018-08-03,2018-10-12,2018-03-29,2018-05-24,"NA","NA","NA","NA","NA","NA","2",6440,"SU1","Virginia's Warbler","Survey-wide","Dh",134,-1.16,-2.87,-0.17,1.59,"12675","Passeriformes","Passeriformes","Parulidae","New World warblers","Vermivora virginiae","0","100","0","0","0","0","0","0","0","0","0","Invertebrate","0","0","0","60","40","0","0","0","1","0","8.1999999999999993",NA,"N","NA","I","NA","F","Western","NA",8.2,"Elton",305,102
"9",113,200,"mouwar","migrant","mouwar-ERD2018-EBIRD_SCIENCE-20191109-66981883","Geothlypis philadelphia","Mourning Warbler","ebird",2018-06-14,2018-07-27,2018-10-19,2018-04-12,2018-08-03,2018-10-12,2018-04-19,2018-06-07,"NA","NA","NA","NA","NA","NA","2",6790,"SU1","Mourning Warbler","Survey-wide","Dh",982,-1.31,-2.42,-0.52,6.79,"12730","Passeriformes","Passeriformes","Parulidae","New World warblers","Oporornis philadelphia","1","90","0","0","0","0","0","0","0","0","10","Invertebrate","0","0","50","50","0","0","0","0","1","0","11.74",NA,"N","NA","I","NA","F","Eastern","Boreal",11.74,"Elton",319,106
"10",4,27,"rufhum","migrant","rufhum-ERD2018-EBIRD_SCIENCE-20191029-4800bdb5","Selasphorus rufus","Rufous Hummingbird","ebird",2018-05-24,2018-06-14,2018-10-26,2018-02-08,2018-06-21,2018-10-19,2018-02-15,2018-05-17,"NA","NA","NA","NA","NA","NA","2",4330,"SU1","Rufous Hummingbird","Survey-wide","Sh",381,-2.14,-2.65,-1.56,1.36,"2813","Nonpasseriformes","Apodiformes","Trochilidae","Hummingbirds","Selasphorus rufus","0","10","0","0","0","0","0","0","90","0","0","FruiNect","0","0","0","60","40","0","0","0","1","0","3.5",NA,"N","NA","N","NA","F","Western","Temperate",3.5,"Elton",341,114
