X1,estimate,SE,df,t.ratio,p.value
C breeding - F breeding,0.203595943142701,0.00247682886651662,19980,82.2002464098521,0
C breeding - G breeding,0.0327073878135124,0.00247682886651571,19980,13.2053482804905,4.07364721130216e-38
C breeding - I breeding,-0.139733803179974,0.00247682886651584,19980,-56.4164141774309,0
C breeding - O breeding,0.0106880321530343,0.00247682886651561,19980,4.31520816699386,0.000192262401541502
C breeding - C postbreeding,-0.0231802197801955,0.00247682886651582,19980,-9.3588297898043,2.48964706265642e-19
C breeding - F postbreeding,0.0846040745165297,0.00247682886651594,19980,34.1582237110871,1.41648961614679e-246
C breeding - G postbreeding,0.0453659099396169,0.00247682886651589,19980,18.3161261373025,1.4488823554473e-72
C breeding - I postbreeding,-0.0442872408379215,0.00247682886651607,19980,-17.8806220472617,3.34091249666193e-69
C breeding - O postbreeding,-0.00240820309317167,0.0024768288665161,19980,-0.972292888591467,1
C breeding - C nonbreeding,0.125196703296802,0.00247682886651711,19980,50.5471754586146,0
C breeding - F nonbreeding,-0.0193859945544932,0.00247682886651635,19980,-7.82694146396944,1.20672192011166e-13
C breeding - G nonbreeding,0.0352062649429184,0.00247682886651633,19980,14.2142500916651,5.24053539303155e-44
C breeding - I nonbreeding,-0.0563630275198936,0.00247682886651626,19980,-22.7561250927966,2.49802874906773e-111
C breeding - O nonbreeding,0.0867244734959539,0.00247682886651625,19980,35.014317972616,1.02966858825622e-258
C breeding - C prebreeding,-0.0371941391941425,0.0024768288665164,19980,-15.0168385458359,4.73952298917608e-49
C breeding - F prebreeding,0.109697384668575,0.00247682886651624,19980,44.2894485572066,0
C breeding - G prebreeding,0.0434607846440354,0.00247682886651597,19980,17.5469469173175,1.12541360113644e-66
C breeding - I prebreeding,-0.111602362545816,0.00247682886651595,19980,-45.0585682582108,0
C breeding - O prebreeding,0.0449606408084711,0.00247682886651589,19980,18.1525019416123,2.7029010606639e-71
F breeding - G breeding,-0.170888555329188,0.00247682886651629,19980,-68.9948981293756,0
F breeding - I breeding,-0.343329746322675,0.00247682886651634,19980,-138.616660587281,0
F breeding - O breeding,-0.192907910989666,0.00247682886651632,19980,-77.8850382428693,0
