X1,estimate,SE,df,t.ratio,p.value
C breeding - F breeding,0.440068530961967,0.00258168884117222,19980,170.45761826284,0
C breeding - G breeding,0.242147236484416,0.00258168884117127,19980,93.7941213607126,0
C breeding - I breeding,0.100389048421743,0.00258168884117141,19980,38.8850301480146,6.90040539163085e-317
C breeding - O breeding,0.247708614573822,0.00258168884117116,19980,95.9482841710123,0
C breeding - C postbreeding,0.153943473193533,0.00258168884117139,19980,59.628980355233,0
C breeding - F postbreeding,0.340676568866027,0.00258168884117151,19980,131.958802870851,0
C breeding - G postbreeding,0.221114696801978,0.00258168884117146,19980,85.6473070169237,0
C breeding - I postbreeding,0.217338045444075,0.00258168884117165,19980,84.1844462345977,0
C breeding - O postbreeding,0.197644690382172,0.00258168884117168,19980,76.5563561457208,0
C breeding - C nonbreeding,0.467483712121493,0.00258168884117274,19980,181.076706327296,0
C breeding - F nonbreeding,0.187816330417055,0.00258168884117194,19980,72.7494062885586,0
C breeding - G nonbreeding,0.203489113319711,0.00258168884117192,19980,78.8201544952027,0
C breeding - I nonbreeding,0.187264471898286,0.00258168884117184,19980,72.5356475621151,0
C breeding - O nonbreeding,0.222981778656355,0.00258168884117183,19980,86.37050875393,0
C breeding - C prebreeding,0.24214685314691,0.00258168884117199,19980,93.7939728774533,0
C breeding - F prebreeding,0.33189127140997,0.00258168884117182,19980,128.555876338422,0
C breeding - G prebreeding,0.241510250344001,0.00258168884117155,19980,93.5473890162557,0
C breeding - I prebreeding,0.160763136408952,0.00258168884117152,19980,62.2705315393473,0
C breeding - O prebreeding,0.315842337477359,0.00258168884117146,19980,122.339428532388,0
F breeding - G breeding,-0.197921294477551,0.00258168884117188,19980,-76.6634969021714,0
F breeding - I breeding,-0.339679482540224,0.00258168884117193,19980,-131.572588114852,0
F breeding - O breeding,-0.192359916388144,0.00258168884117191,19980,-74.5093340918753,0
F breeding - C postbreeding,-0.286125057768434,0.00258168884117155,19980,-110.828637907654,0
F breeding - F postbreeding,-0.09939196209594,0.00258168884117162,19980,-38.4988153920338,7.51886987161833e-311
F breeding - G postbreeding,-0.218953834159989,0.0025816888411717,19980,-84.810311245958,0
F breeding - I postbreeding,-0.222730485517891,0.00258168884117173,19980,-86.2731720282767,0
F breeding - O postbreeding,-0.242423840579795,0.00258168884117173,19980,-93.9012621171527,0
F breeding - C nonbreeding,0.0274151811595266,0.00258168884117215,19980,10.6190880644932,1.113244736301e-24
F breeding - F nonbreeding,-0.252252200544911,0.00258168884117148,19980,-97.7082119743169,0
F breeding - G nonbreeding,-0.236579417642255,0.00258168884117151,19980,-91.6374637676712,0
F breeding - I nonbreeding,-0.25280405906368,0.00258168884117158,19980,-97.9219707007594,0
F breeding - O nonbreeding,-0.217086752305611,0.00258168884117162,19980,-84.087109508942,0
F breeding - C prebreeding,-0.197921677815057,0.00258168884117212,19980,-76.6636453853973,0
F breeding - F prebreeding,-0.108177259551997,0.0025816888411712,19980,-41.9017419244534,0
F breeding - G prebreeding,-0.198558280617966,0.00258168884117173,19980,-76.9102292466228,0
F breeding - I prebreeding,-0.279305394553014,0.00258168884117163,19980,-108.187086723534,0
F breeding - O prebreeding,-0.124226193484608,0.00258168884117175,19980,-48.1181897304965,0
G breeding - I breeding,-0.141758188062673,0.00258168884117146,19980,-54.9090912126921,0
G breeding - O breeding,0.00556137808940663,0.00258168884117144,19980,2.15416281029558,0.259403357402863
G breeding - C postbreeding,-0.088203763290883,0.00258168884117123,19980,-34.1651410054776,9.8985761322321e-247
G breeding - F postbreeding,0.0985293323816109,0.00258168884117131,19980,38.1646815101498,1.12262662755086e-305
G breeding - G postbreeding,-0.0210325396824379,0.00258168884117131,19980,-8.14681434378257,1.1071525983189e-14
G breeding - I postbreeding,-0.0248091910403405,0.00258168884117134,19980,-9.60967512610245,2.67738219594978e-20
G breeding - O postbreeding,-0.0445025461022437,0.00258168884117136,19980,-17.2377652149792,2.41254015225477e-64
G breeding - C nonbreeding,0.225336475637078,0.00258168884117194,19980,87.2825849666636,0
G breeding - F nonbreeding,-0.0543309060673604,0.00258168884117112,19980,-21.0447150721365,1.8866104323929e-95
G breeding - G nonbreeding,-0.0386581231647045,0.00258168884117105,19980,-14.9739668654916,1.06070228028395e-48
G breeding - I nonbreeding,-0.0548827645861295,0.00258168884117117,19980,-21.2584737985823,2.31198324573029e-97
G breeding - O nonbreeding,-0.0191654578280605,0.00258168884117122,19980,-7.42361260676394,2.72633108928414e-12
G breeding - C prebreeding,-3.83337505793779e-07,0.00258168884117168,19980,-0.000148483233021918,1
G breeding - F prebreeding,0.0897440349255539,0.0025816888411712,19980,34.7617549777381,3.69239447876836e-255
