X1,estimate,SE,df,t.ratio,p.value
C breeding - F breeding,-0.0116436962520398,0.0392481102465587,339.411710145817,-0.296668965178029,1
C breeding - G breeding,0.016468790181129,0.0359306800722219,339.411710145701,0.458348969405148,1
C breeding - I breeding,0.0274967324067212,0.0329573887062156,339.411710145551,0.834311621343211,1
C breeding - O breeding,0.0212473507367652,0.0385884311592024,339.411710145801,0.550614526128466,1
C breeding - C postbreeding,-0.0390045116006866,0.0220687746833006,698.999999999547,-1.76740721496428,1
C breeding - F postbreeding,-0.0660722374550405,0.0392481102465587,339.411710145817,-1.68345015951013,1
C breeding - G postbreeding,-0.0258778330145507,0.0359306800722219,339.411710145701,-0.720215508377113,1
C breeding - I postbreeding,-0.0319914148804357,0.0329573887062156,339.411710145551,-0.970690219592618,1
C breeding - O postbreeding,0.0217515486103072,0.0385884311592024,339.411710145801,0.563680563238444,1
C breeding - C nonbreeding,-0.0326716612106662,0.0220687746833008,698.999999999797,-1.48044745027863,1
C breeding - F nonbreeding,-0.0581821700493325,0.0392481102465587,339.411710145817,-1.48241965495483,1
C breeding - G nonbreeding,-0.0305036527268424,0.0359306800722219,339.411710145701,-0.848958401720453,1
C breeding - I nonbreeding,-0.00636132691558029,0.0329573887062156,339.411710145559,-0.193016715380141,1
C breeding - O nonbreeding,0.0117548228756207,0.0385884311592024,339.411710145801,0.304620388093114,1
C breeding - C prebreeding,-0.0316866009892326,0.0220687746833007,698.999999999976,-1.43581152302079,1
C breeding - F prebreeding,-0.0581440996273904,0.0392481102465587,339.411710145817,-1.48144966119709,1
C breeding - G prebreeding,-0.0295031561609096,0.0359306800722219,339.411710145701,-0.82111321304265,1
C breeding - I prebreeding,-0.0407051716962369,0.0329573887062156,339.411710145551,-1.2350848563606,1
C breeding - O prebreeding,-0.00132582479260743,0.0385884311592024,339.411710145801,-0.0343580900487386,1
F breeding - G breeding,0.0281124864331687,0.0278844469996576,339.411710146425,1.00817801527547,1
F breeding - I breeding,0.0391404286587609,0.0239315290852244,339.411710146417,1.63551725087749,1
F breeding - O breeding,0.0328910469888049,0.0312345263026808,339.411710146417,1.05303492263886,1
F breeding - C postbreeding,-0.0273608153486469,0.0392481102465589,339.411710146192,-0.697124401067075,1
F breeding - F postbreeding,-0.0544285412030007,0.01560498023104,699.000000000011,-3.48789555623637,0.0926013652406212
F breeding - G postbreeding,-0.0142341367625109,0.0278844469996576,339.411710146417,-0.510468676774752,1
F breeding - I postbreeding,-0.020347718628396,0.0239315290852244,339.411710146417,-0.850247326693339,1
F breeding - O postbreeding,0.0333952448623469,0.0312345263026808,339.411710146425,1.06917724759862,1
F breeding - C nonbreeding,-0.0210279649586264,0.0392481102465589,339.411710146184,-0.535770125657707,1
F breeding - F nonbreeding,-0.0465384737972927,0.01560498023104,698.999999999976,-2.98228341902816,0.518104543545382
F breeding - G nonbreeding,-0.0188599564748026,0.0278844469996576,339.411710146417,-0.676361144082728,1
F breeding - I nonbreeding,0.00528236933645946,0.0239315290852244,339.411710146417,0.220728450641328,1
F breeding - O nonbreeding,0.0233985191276604,0.0312345263026808,339.411710146425,0.749123546837724,1
F breeding - C prebreeding,-0.0200429047371929,0.0392481102465588,339.411710146092,-0.510671841555739,1
F breeding - F prebreeding,-0.0465004033753507,0.01560498023104,698.999999999976,-2.9798437862072,0.519211644140486
F breeding - G prebreeding,-0.0178594599088698,0.0278844469996576,339.411710146417,-0.640481050568767,1
F breeding - I prebreeding,-0.0290614754441971,0.0239315290852244,339.411710146417,-1.2143593224112,1
F breeding - O prebreeding,0.0103178714594323,0.0312345263026808,339.411710146425,0.330335455048882,1
G breeding - I breeding,0.0110279422255922,0.0179810371470414,339.411710146408,0.613309573603032,1
G breeding - O breeding,0.00477856055563619,0.0269480100541617,339.411710146417,0.17732517339989,1
G breeding - C postbreeding,-0.0554733017818156,0.0359306800722221,339.411710146142,-1.54389790759073,1
G breeding - F postbreeding,-0.0825410276361695,0.0278844469996576,339.411710146425,-2.96010990059021,0.566154355093447
G breeding - G postbreeding,-0.0423466231956797,0.011190911292142,699.000000000011,-3.78401920006413,0.030493354506555
G breeding - I postbreeding,-0.0484602050615647,0.0179810371470414,339.411710146417,-2.69507285176475,1
G breeding - O postbreeding,0.00528275842917819,0.0269480100541617,339.411710146417,0.196035195866433,1
G breeding - C nonbreeding,-0.0491404513917951,0.0359306800722221,339.411710146142,-1.36764601429811,1
G breeding - F nonbreeding,-0.0746509602304615,0.0278844469996576,339.411710146425,-2.6771540504776,1
G breeding - G nonbreeding,-0.0469724429079714,0.011190911292142,699.000000000011,-4.19737425145658,0.00564022323643448
G breeding - I nonbreeding,-0.0228301170967093,0.0179810371470414,339.411710146417,-1.26967743351032,1
G breeding - O nonbreeding,-0.00471396730550832,0.0269480100541617,339.411710146417,-0.174928215331444,1
G breeding - C prebreeding,-0.0481553911703616,0.035930680072222,339.411710146034,-1.34023044021342,1
G breeding - F prebreeding,-0.0746128898085194,0.0278844469996576,339.411710146425,-2.67578875813587,1
G breeding - G prebreeding,-0.0459719463420386,0.011190911292142,699.000000000011,-4.10797165145247,0.00821416684751802
G breeding - I prebreeding,-0.0571739618773658,0.0179810371470414,339.411710146417,-3.17968098335047,0.285000048508684
G breeding - O prebreeding,-0.0177946149737364,0.0269480100541617,339.411710146417,-0.660331317153726,1
I breeding - O breeding,-0.00624938166995602,0.0228335486895801,339.411710146417,-0.273692966210192,1
I breeding - C postbreeding,-0.0665012440074078,0.0329573887062158,339.411710146084,-2.01779469241947,1
I breeding - F postbreeding,-0.0935689698617617,0.0239315290852244,339.411710146417,-3.90986173631221,0.0204091986735644
I breeding - G postbreeding,-0.0533745654212719,0.0179810371470414,339.411710146408,-2.96838079943872,0.55472489248387
I breeding - I postbreeding,-0.0594881472871569,0.0053007482201661,698.99999999994,-11.2225943991908,1.03441030112175e-24
I breeding - O postbreeding,-0.00574518379641402,0.0228335486895801,339.411710146417,-0.251611515779665,1
I breeding - C nonbreeding,-0.0601683936173874,0.0329573887062159,339.411710146084,-1.82564201775001,1
I breeding - F nonbreeding,-0.0856789024560537,0.0239315290852244,339.411710146417,-3.58016832735325,0.071214497002738
I breeding - G nonbreeding,-0.0580003851335636,0.0179810371470413,339.411710146408,-3.22564180582359,0.245494974847226
I breeding - I nonbreeding,-0.0338580593223015,0.00530074822016611,698.999999999976,-6.38741134572139,5.75574147718769e-08
I breeding - O nonbreeding,-0.0157419095311005,0.0228335486895801,339.411710146417,-0.689420192415568,1
I breeding - C prebreeding,-0.0591833333959538,0.0329573887062158,339.411710145959,-1.79575311392288,1
I breeding - F prebreeding,-0.0856408320341116,0.0239315290852244,339.411710146417,-3.57857752127452,0.071237548184248
I breeding - G prebreeding,-0.0569998885676308,0.0179810371470414,339.411710146408,-3.17000004513142,0.292718572886341
I breeding - I prebreeding,-0.068201904102958,0.00530074822016609,699.000000000011,-12.8664673872816,7.11196527551445e-32
I breeding - O prebreeding,-0.0288225571993286,0.0228335486895801,339.411710146417,-1.26228986966365,1
O breeding - C postbreeding,-0.0602518623374518,0.0385884311592026,339.411710146175,-1.56139704381537,1
O breeding - F postbreeding,-0.0873195881918057,0.0312345263026808,339.411710146425,-2.7956110922134,0.930745484741886
O breeding - G postbreeding,-0.0471251837513159,0.0269480100541617,339.411710146417,-1.74874447710985,1
O breeding - I postbreeding,-0.0532387656172009,0.0228335486895801,339.411710146417,-2.33160278067053,1
O breeding - O postbreeding,0.000504197873542001,0.0148041841115961,699.000000000011,0.0340577954003601,1
O breeding - C nonbreeding,-0.0539190119474313,0.0385884311592026,339.411710146175,-1.39728437585296,1
O breeding - F nonbreeding,-0.0794295207860977,0.0312345263026808,339.411710146425,-2.54300385465684,1
O breeding - G nonbreeding,-0.0517510034636076,0.0269480100541617,339.411710146417,-1.92040166823433,1
O breeding - I nonbreeding,-0.0276086776523455,0.0228335486895801,339.411710146417,-1.20912776317351,1
O breeding - O nonbreeding,-0.00949252786114451,0.0148041841115961,698.999999999976,-0.64120574221372,1
O breeding - C prebreeding,-0.0529339517259978,0.0385884311592026,339.411710146084,-1.37175703017338,1
O breeding - F prebreeding,-0.0793914503641556,0.0312345263026808,339.411710146425,-2.5417849976275,1
O breeding - G prebreeding,-0.0507505068976748,0.0269480100541617,339.411710146417,-1.88327474999725,1
O breeding - I prebreeding,-0.061952522433002,0.0228335486895801,339.411710146417,-2.71322356744633,1
O breeding - O prebreeding,-0.0225731755293726,0.0148041841115961,699.000000000011,-1.52478349088425,1
C postbreeding - F postbreeding,-0.0270677258543539,0.0392481102465589,339.411710146192,-0.689656793265023,1
C postbreeding - G postbreeding,0.0131266785861359,0.0359306800722221,339.411710146142,0.365333429808475,1
C postbreeding - I postbreeding,0.00701309672025091,0.0329573887062158,339.411710146092,0.212792851483656,1
C postbreeding - O postbreeding,0.0607560602109938,0.0385884311592026,339.411710146175,1.57446308092535,1
C postbreeding - C nonbreeding,0.00633285039002046,0.0220687746833008,698.999999999904,0.286959764685643,1
C postbreeding - F nonbreeding,-0.0191776584486459,0.0392481102465588,339.411710146184,-0.488626288709717,1
C postbreeding - G nonbreeding,0.00850085887384422,0.0359306800722221,339.411710146142,0.236590536465137,1
C postbreeding - I nonbreeding,0.0326431846851063,0.0329573887062158,339.411710146092,0.990466355696128,1
C postbreeding - O nonbreeding,0.0507593344763073,0.0385884311592026,339.411710146175,1.31540290578002,1
