X1,estimate,SE,df,t.ratio,p.value
C breeding - F breeding,0.0424712282221047,0.0643636223080446,381.775451684998,0.659863859414829,1
C breeding - G breeding,0.0525354238925178,0.0589233139356652,381.775451685082,0.891589769541442,1
C breeding - I breeding,0.0795651678161159,0.0540473644621418,381.77545168522,1.47213779261796,1
C breeding - O breeding,0.0199934523448217,0.0632818037094828,381.775451685008,0.31594314910189,1
C breeding - C postbreeding,-0.104441751207321,0.0411715875088441,699.000000000405,-2.53674335935881,1
C breeding - F postbreeding,0.0206185089944978,0.0643636223080446,381.775451684998,0.320344136254754,1
C breeding - G postbreeding,0.00128470520913791,0.0589233139356652,381.775451685093,0.0218030033161508,1
C breeding - I postbreeding,0.0300917136006293,0.0540473644621418,381.77545168522,0.556765605503437,1
C breeding - O postbreeding,0.035603003451538,0.0632818037094828,381.775451685008,0.562610440356377,1
C breeding - C nonbreeding,-0.0386981144915491,0.0411715875088441,699.000000000155,-0.939922816511175,1
C breeding - F nonbreeding,0.00911569167520619,0.0643636223080446,381.775451684998,0.141628008933034,1
C breeding - G nonbreeding,0.00841077535009044,0.0589233139356652,381.775451685093,0.14274104405047,1
C breeding - I nonbreeding,0.0849615163600968,0.0540473644621418,381.775451685209,1.57198259722006,1
C breeding - O nonbreeding,0.0697003205068512,0.0632818037094828,381.775451685008,1.10142752609952,1
C breeding - C prebreeding,-0.0452199163655387,0.0411715875088442,698.999999999797,-1.09832821860038,1
C breeding - F prebreeding,0.0298218826098788,0.0643636223080447,381.775451684987,0.463334435516247,1
C breeding - G prebreeding,0.0228223193752923,0.0589233139356652,381.775451685093,0.387322400098044,1
C breeding - I prebreeding,0.0299496548343577,0.0540473644621418,381.775451685209,0.554137193041788,1
C breeding - O prebreeding,0.00903261051299612,0.0632818037094828,381.775451685008,0.142736299908003,1
F breeding - G breeding,0.010064195670413,0.0457281638193629,381.775451684501,0.220087465356558,1
F breeding - I breeding,0.0370939395940112,0.0392457086371634,381.775451684512,0.94517186418913,1
