X1,estimate,SE,df,t.ratio,p.value
C breeding - F breeding,0.0456653046000691,0.0609587755342229,382.558222903022,0.749117812814861,1
C breeding - G breeding,0.0464462361259907,0.0558062604175098,382.558222903012,0.832276446737466,1
C breeding - I breeding,0.0765692524300316,0.0511882495161041,382.55822290298,1.49583650845381,1
C breeding - O breeding,0.0217498007474304,0.0599341853269966,382.558222903022,0.36289474243731,1
C breeding - C postbreeding,-0.0828819661122216,0.0390699041004929,699.000000000333,-2.12137623627225,1
C breeding - F postbreeding,0.0264241901034892,0.0609587755342229,382.558222903012,0.433476392396603,1
C breeding - G postbreeding,-0.00293617202476709,0.0558062604175098,382.558222903012,-0.052613667405778,1
C breeding - I postbreeding,0.0330322533646596,0.0511882495161041,382.558222902991,0.645309298069813,1
C breeding - O postbreeding,0.0376706244112584,0.0599341853269966,382.558222903012,0.628533185288666,1
C breeding - C nonbreeding,-0.0340148913407013,0.0390699041004931,699.00000000019,-0.870616197398653,1
C breeding - F nonbreeding,0.0215699989122927,0.0609587755342229,382.558222903012,0.353845672313137,1
C breeding - G nonbreeding,0.00820332462313228,0.0558062604175098,382.558222903012,0.146996493973253,1
C breeding - I nonbreeding,0.092776874674015,0.0511882495161041,382.558222902991,1.81246429700291,1
C breeding - O nonbreeding,0.0706356698709232,0.0599341853269966,382.558222903022,1.17855393354461,1
C breeding - C prebreeding,-0.0383377205654088,0.039069904100493,699.000000000262,-0.981259653640281,1
C breeding - F prebreeding,0.036491142408481,0.0609587755342229,382.558222903022,0.598620003251124,1
C breeding - G prebreeding,0.0186183087394011,0.0558062604175098,382.558222903012,0.333624016375759,1
C breeding - I prebreeding,0.02951311558357,0.0511882495161041,382.558222902991,0.576560360289035,1
C breeding - O prebreeding,0.0137114732184089,0.0599341853269966,382.558222903012,0.228775500052267,1
F breeding - G breeding,0.00078093152592159,0.0433091360289619,382.558222903107,0.0180315655661974,1
F breeding - I breeding,0.0309039478299625,0.037169603849263,382.558222903107,0.831430648421486,1
F breeding - O breeding,-0.0239155038526387,0.0485123606166406,382.558222903097,-0.492977532914266,1
F breeding - C postbreeding,-0.128547270712291,0.0609587755342226,382.558222902566,-2.10875742804452,1
F breeding - F postbreeding,-0.0192411144965799,0.0276265941297667,698.999999999976,-0.696470741424049,1
F breeding - G postbreeding,-0.0486014766248362,0.0433091360289619,382.558222903097,-1.12219917276427,1
F breeding - I postbreeding,-0.0126330512354096,0.037169603849263,382.558222903097,-0.339875864339083,1
F breeding - O postbreeding,-0.00799468018881076,0.0485123606166406,382.558222903097,-0.164796766992791,1
F breeding - C nonbreeding,-0.0796801959407705,0.0609587755342227,382.558222902588,-1.3071160836562,1
F breeding - F nonbreeding,-0.0240953056877764,0.0276265941297667,698.999999999976,-0.872177930243473,1
F breeding - G nonbreeding,-0.0374619799769369,0.0433091360289619,382.558222903097,-0.864990240209019,1
F breeding - I nonbreeding,0.0471115700739458,0.037169603849263,382.558222903097,1.26747571120213,1
F breeding - O nonbreeding,0.0249703652708541,0.0485123606166406,382.558222903097,0.514721711198049,1
F breeding - C prebreeding,-0.0840030251654779,0.0609587755342226,382.558222902482,-1.3780300609601,1
F breeding - F prebreeding,-0.00917416219158808,0.0276265941297667,699.000000000011,-0.33207720606078,1
F breeding - G prebreeding,-0.027046995860668,0.0433091360289619,382.558222903097,-0.624510168999469,1
F breeding - I prebreeding,-0.0161521890164991,0.037169603849263,382.558222903097,-0.434553703666105,1
F breeding - O prebreeding,-0.0319538313816602,0.0485123606166406,382.558222903097,-0.65867401576619,1
G breeding - I breeding,0.0301230163040409,0.027927510405804,382.558222903107,1.07861445099598,1
G breeding - O breeding,-0.0246964353785603,0.0418546953131202,382.558222903107,-0.590051730010293,1
G breeding - C postbreeding,-0.129328202238212,0.0558062604175095,382.55822290246,-2.31744971389688,1
G breeding - F postbreeding,-0.0200220460225015,0.0433091360289619,382.558222903097,-0.462305366911781,1
G breeding - G postbreeding,-0.0493824081507578,0.0198120574094201,699.000000000011,-2.4925431584545,1
G breeding - I postbreeding,-0.0134139827613311,0.027927510405804,382.558222903118,-0.480314305371932,1
G breeding - O postbreeding,-0.00877561171473235,0.0418546953131202,382.558222903107,-0.209668512674167,1
G breeding - C nonbreeding,-0.0804611274666921,0.0558062604175095,382.558222902482,-1.44179392893789,1
G breeding - F nonbreeding,-0.024876237213698,0.0433091360289619,382.558222903107,-0.574387750359707,1
G breeding - G nonbreeding,-0.0382429115028584,0.0198120574094201,699.000000000011,-1.93028471059624,1
G breeding - I nonbreeding,0.0463306385480242,0.027927510405804,382.558222903118,1.65896056880157,1
G breeding - O nonbreeding,0.0241894337449325,0.0418546953131202,382.558222903107,0.577938354680839,1
G breeding - C prebreeding,-0.0847839566913995,0.0558062604175094,382.558222902365,-1.5192552960384,1
G breeding - F prebreeding,-0.00995509371750967,0.0433091360289619,382.558222903097,-0.22986128633119,1
G breeding - G prebreeding,-0.0278279273865896,0.0198120574094201,699.000000000011,-1.40459553551254,1
