X1,estimate,SE,df,t.ratio,p.value
AF - AH,0.0645556664413477,0.154314423763334,230.999999999804,0.418338512155896,1
AF - B,0.0600802797538605,0.145756231686925,230.999999999777,0.412196988482173,1
AF - F,0.0968665070634295,0.118388702119146,230.999999999666,0.818207357032625,1
AF - G,-0.151941004108852,0.123388279186384,230.999999999697,-1.23140548770712,1
AF - GH,0.154332030160982,0.175026731904844,230.999999999846,0.881762622665472,1
AH - B,-0.00447538668748728,0.138782085637086,230.999999999998,-0.0322475820055794,1
AH - F,0.0323108406220818,0.109688071400963,230.999999999998,0.29457023183469,1
AH - G,-0.2164966705502,0.115066309833869,230.999999999998,-1.88149486033553,0.733946685537422
AH - GH,0.0897763637196341,0.16926294662299,230.999999999998,0.53039584569917,1
B - F,0.036786227309569,0.0972800632289348,230.999999999998,0.378147650079111,1
B - G,-0.212021283862712,0.10330630838892,230.999999999998,-2.05235563218957,0.536410126277608
B - GH,0.0942517504071214,0.161498863134264,230.999999999998,0.583606277951096,1
F - G,-0.248807511172282,0.0586787786753436,230.999999999998,-4.24016172096692,0.000484759195987128
F - GH,0.0574655230975523,0.137305821098536,230.999999999998,0.418522118274308,1
G - GH,0.306273034269834,0.141639228883329,230.999999999998,2.16234610061395,0.442660845959151
