X1,estimate,SE,df,t.ratio,p.value
AF - AH,0.0338693970127372,0.144410148268671,231.000000000014,0.23453612795774,1
AF - B,0.0401473044084069,0.136401241800134,231.000000000014,0.294332396674467,1
AF - F,0.0828942273028404,0.110790226923816,231.000000000021,0.748208841198978,1
AF - G,-0.149602959986993,0.115468918960203,231.000000000021,-1.29561237200597,1
AF - GH,0.130339342004959,0.163793090036258,231.00000000001,0.795756047926725,1
AH - B,0.00627790739566961,0.129874713426853,230.999999999998,0.0483381809285407,1
AH - F,0.0490248302901032,0.102648023872452,230.999999999998,0.477601306295193,1
AH - G,-0.183472356999731,0.107681073865961,230.999999999998,-1.70384962196897,1
AH - GH,0.0964699449922219,0.158399238529466,230.999999999998,0.609030358275848,1
B - F,0.0427469228944336,0.0910363918801624,230.999999999998,0.469558623882023,1
B - G,-0.1897502643954,0.0966758579510191,230.999999999998,-1.96274714718888,0.661385619568216
B - GH,0.0901920375965523,0.15113347282569,230.999999999998,0.596770761038327,1
F - G,-0.232497187289834,0.0549126317688182,231.00000000001,-4.23394726861108,0.000497360765890036
F - GH,0.0474451147021187,0.1284931991413,230.999999999998,0.36924222464058,1
G - GH,0.279942301991953,0.132548478262004,230.999999999998,2.11199936553478,0.500648293684244
