X1,estimate,SE,df,t.ratio,p.value
AF - AH,-0.0701141778571896,0.0531350473007815,232.000000000051,-1.31954672892817,1
AF - B,-0.0212142752814671,0.0501882071435264,232.000000000059,-0.42269442342898,1
AF - F,0.00795512275940825,0.0407520576620626,232.000000000086,0.195207879449335,1
AF - G,-0.0345062475608432,0.0424862556009955,232.000000000082,-0.812174362572791,1
AF - GH,-0.114398517947364,0.0602669112313758,232.00000000004,-1.89819779394645,0.706934917413477
AH - B,0.0488999025757225,0.0477868011621491,232.000000000001,1.02329307228154,1
AH - F,0.0780693006165978,0.0377551643185583,232.000000000001,2.06777806495265,0.517008108020346
AH - G,0.0356079302963464,0.0396207539557539,231.999999999997,0.898719149466748,1
AH - GH,-0.0442843400901744,0.0582822684733512,231.999999999997,-0.759825265044769,1
B - F,0.0291693980408754,0.0334809694803864,232.000000000001,0.871223220043351,1
B - G,-0.0132919722793761,0.035571435571925,231.999999999997,-0.37366982989764,1
B - GH,-0.0931842426658969,0.0556088635293423,231.999999999997,-1.67570845278519,1
F - G,-0.0424613703202515,0.0201792243671102,231.999999999997,-2.10421221092416,0.51011040884504
F - GH,-0.122353640706772,0.0472675339999409,231.999999999997,-2.58853446229975,0.153709969931167
G - GH,-0.0798922703865208,0.0487706005882296,231.999999999997,-1.63812357081783,1
