X1,estimate,SE,df,t.ratio,p.value
N breeding - S breeding,-0.147543987259282,0.070761281725829,345.443536867917,-2.0850948945633,1
N breeding - NR breeding,-0.007284941331809,0.0908691615506751,345.443536867926,-0.0801695669630054,1
N breeding - R breeding,-0.0851768693871053,0.070250010153017,345.443536867917,-1.21248195127054,1
N breeding - N postbreeding,0.0689709676357919,0.0270257778912323,698.999999999868,2.55204375294476,0.928278010191099
N breeding - S postbreeding,-0.261741706417197,0.070761281725829,345.443536867917,-3.6989395900337,0.0269410286354012
N breeding - NR postbreeding,0.0142354355477467,0.0908691615506751,345.443536867926,0.156658599076079,1
N breeding - R postbreeding,-0.108573952591824,0.070250010153017,345.443536867917,-1.54553646832691,1
N breeding - N nonbreeding,0.0882862847167624,0.0270257778912323,698.999999999868,3.26674351695181,0.114107127018182
N breeding - S nonbreeding,-0.368804786864519,0.070761281725829,345.443536867917,-5.2119574132855,3.73773756735618e-05
N breeding - NR nonbreeding,0.037723649690131,0.0908691615506751,345.443536867926,0.415142486696035,1
N breeding - R nonbreeding,-0.124019469277135,0.070250010153017,345.443536867917,-1.76540144274711,1
N breeding - N prebreeding,0.0475772016678219,0.0270257778912323,698.999999999976,1.7604378256678,1
N breeding - S prebreeding,-0.208716701690907,0.070761281725829,345.443536867917,-2.9495890492713,0.322895362875309
N breeding - NR prebreeding,-0.0136389275204014,0.0908691615506751,345.443536867926,-0.150094127508763,1
N breeding - R prebreeding,-0.158983588069791,0.070250010153017,345.443536867917,-2.26311124686667,1
S breeding - NR breeding,0.140259045927473,0.101564570091098,345.443536867943,1.38098399669952,1
S breeding - R breeding,0.0623671178721762,0.0836254823804673,345.443536867943,0.745790829503705,1
S breeding - N postbreeding,0.216514954895073,0.070761281725829,345.443536867934,3.05979413620545,0.2316485434195
S breeding - S postbreeding,-0.114197719157916,0.0418317954038391,699.000000000011,-2.729926316943,0.571501533781429
S breeding - NR postbreeding,0.161779422807028,0.101564570091098,345.443536867943,1.59287261947666,1
S breeding - R postbreeding,0.0389700346674577,0.0836254823804673,345.443536867943,0.466006695066432,1
S breeding - N nonbreeding,0.235830271976044,0.070761281725829,345.443536867934,3.3327586248337,0.096255412294777
S breeding - S nonbreeding,-0.221260799605237,0.0418317954038391,699.000000000011,-5.28929723119011,1.92381885655514e-05
S breeding - NR nonbreeding,0.185267636949413,0.101564570091098,345.443536867943,1.82413647577337,1
S breeding - R nonbreeding,0.0235245179821465,0.0836254823804673,345.443536867943,0.281308009383049,1
S breeding - N prebreeding,0.195121188927103,0.070761281725829,345.443536867934,2.75745696188939,0.552143622908783
S breeding - S prebreeding,-0.0611727144316251,0.0418317954038391,698.999999999976,-1.46234972324451,1
S breeding - NR prebreeding,0.13390505973888,0.101564570091098,345.443536867943,1.31842294629687,1
S breeding - R prebreeding,-0.0114396008105093,0.0836254823804673,345.443536867943,-0.136795633159556,1
NR breeding - R breeding,-0.0778919280552963,0.101209025451322,345.443536867943,-0.769614446023487,1
NR breeding - N postbreeding,0.0762559089676009,0.0908691615506751,345.443536867934,0.839183587328196,1
NR breeding - S postbreeding,-0.254456765085388,0.101564570091098,345.443536867943,-2.50536939069554,1
NR breeding - NR postbreeding,0.0215203768795557,0.0579638360090204,699.000000000011,0.371272475413923,1
NR breeding - R postbreeding,-0.101289011260015,0.101209025451322,345.443536867943,-1.00079030312105,1
NR breeding - N nonbreeding,0.0955712260485714,0.0908691615506751,345.443536867934,1.05174543726008,1
NR breeding - S nonbreeding,-0.361519845532709,0.101564570091098,345.443536867943,-3.55950746612176,0.0444728523823591
NR breeding - NR nonbreeding,0.04500859102194,0.0579638360090204,699.000000000011,0.776494347526201,1
NR breeding - R nonbreeding,-0.116734527945326,0.101209025451322,345.443536867943,-1.15340037535952,1
NR breeding - N prebreeding,0.0548621429996309,0.0908691615506751,345.443536867934,0.60374875329994,1
NR breeding - S prebreeding,-0.201431760359098,0.101564570091098,345.443536867943,-1.98328767776425,1
NR breeding - NR prebreeding,-0.00635398618859242,0.0579638360090204,699.000000000011,-0.109619835850816,1
NR breeding - R prebreeding,-0.151698646737982,0.101209025451322,345.443536867943,-1.49886481034187,1
R breeding - N postbreeding,0.154147837022897,0.070250010153017,345.443536867934,2.19427494298059,1
R breeding - S postbreeding,-0.176564837030092,0.0836254823804673,345.443536867943,-2.11137600649982,1
R breeding - NR postbreeding,0.099412304934852,0.101209025451322,345.443536867943,0.982247427949651,1
R breeding - R postbreeding,-0.0233970832047185,0.0414027400064432,699.000000000011,-0.565109536254784,1
R breeding - N nonbreeding,0.173463154103868,0.070250010153017,345.443536867934,2.46922603606795,1
R breeding - S nonbreeding,-0.283627917477413,0.0836254823804673,345.443536867943,-3.39164462079876,0.0790763680356487
R breeding - NR nonbreeding,0.122900519077236,0.101209025451322,345.443536867943,1.21432370808023,1
R breeding - R nonbreeding,-0.0388425998900297,0.0414027400064432,699.000000000011,-0.938164959226973,1
R breeding - N prebreeding,0.132754071054927,0.070250010153017,345.443536867934,1.88973739314436,1
R breeding - S prebreeding,-0.123539832303801,0.0836254823804673,345.443536867943,-1.47729889008876,1
R breeding - NR prebreeding,0.0715379418667039,0.101209025451322,345.443536867943,0.706833620299121,1
R breeding - R prebreeding,-0.0738067186826855,0.0414027400064432,698.999999999976,-1.78265300004781,1
N postbreeding - S postbreeding,-0.330712674052989,0.070761281725829,345.443536867934,-4.67363883167585,0.000484250437487571
N postbreeding - NR postbreeding,-0.0547355320880452,0.0908691615506751,345.443536867934,-0.602355421289111,1
N postbreeding - R postbreeding,-0.177544920227616,0.070250010153017,345.443536867934,-2.52732946003696,1
N postbreeding - N nonbreeding,0.0193153170809706,0.0270257778912323,698.99999999994,0.714699764007047,1
N postbreeding - S nonbreeding,-0.43777575450031,0.070761281725829,345.443536867934,-6.18665665492765,2.06860030848068e-07
N postbreeding - NR nonbreeding,-0.0312473179456608,0.0908691615506751,345.443536867934,-0.343871533669155,1
N postbreeding - R nonbreeding,-0.192990436912927,0.070250010153017,345.443536867934,-2.74719443445715,0.563006538792893
N postbreeding - N prebreeding,-0.0213937659679699,0.0270257778912323,698.999999999976,-0.791605927276953,1
N postbreeding - S prebreeding,-0.277687669326698,0.070761281725829,345.443536867934,-3.92428829091344,0.0115480182448614
N postbreeding - NR prebreeding,-0.0826098951561933,0.0908691615506751,345.443536867934,-0.909108147873953,1
N postbreeding - R prebreeding,-0.227954555705583,0.070250010153017,345.443536867934,-3.24490423857672,0.127684086937885
S postbreeding - NR postbreeding,0.275977141964944,0.101564570091098,345.443536867943,2.71725801347268,0.60152917482447
S postbreeding - R postbreeding,0.153167753825373,0.0836254823804673,345.443536867943,1.83159187206254,1
S postbreeding - N nonbreeding,0.35002799113396,0.070761281725829,345.443536867934,4.9466033203041,0.000135870136739602
S postbreeding - S nonbreeding,-0.107063080447321,0.0418317954038391,699.000000000011,-2.5593709142471,0.919814071063783
S postbreeding - NR nonbreeding,0.299465356107328,0.101564570091098,345.443536867943,2.94852186976939,0.322895362875309
S postbreeding - R nonbreeding,0.137722237140062,0.0836254823804673,345.443536867943,1.64689318637916,1
S postbreeding - N prebreeding,0.309318908085019,0.070761281725829,345.443536867934,4.37130165735978,0.00184901585842639
S postbreeding - S prebreeding,0.0530250047262906,0.0418317954038391,699.000000000011,1.26757659369849,1
S postbreeding - NR prebreeding,0.248102778896796,0.101564570091098,345.443536867943,2.44280834029289,1
S postbreeding - R prebreeding,0.102758118347406,0.0836254823804673,345.443536867943,1.22878954383656,1
NR postbreeding - R postbreeding,-0.12280938813957,0.101209025451322,345.443536867943,-1.21342328504721,1
NR postbreeding - N nonbreeding,0.0740508491690157,0.0908691615506751,345.443536867934,0.814917271220993,1
NR postbreeding - S nonbreeding,-0.383040222412265,0.101564570091098,345.443536867943,-3.7713960888989,0.0206203443710136
NR postbreeding - NR nonbreeding,0.0234882141423843,0.0579638360090204,699.000000000011,0.405221872112278,1
NR postbreeding - R nonbreeding,-0.138254904824882,0.101209025451322,345.443536867943,-1.36603335728568,1
NR postbreeding - N prebreeding,0.0333417661200752,0.0908691615506751,345.443536867943,0.366920587260855,1
NR postbreeding - S prebreeding,-0.222952137238653,0.101564570091098,345.443536867943,-2.19517630054139,1
NR postbreeding - NR prebreeding,-0.0278743630681481,0.0579638360090204,699.000000000011,-0.480892311264739,1
NR postbreeding - R prebreeding,-0.173219023617537,0.101209025451322,345.443536867943,-1.71149779226804,1
R postbreeding - N nonbreeding,0.196860237308586,0.070250010153017,345.443536867934,2.80228055312433,0.487799923352787
R postbreeding - S nonbreeding,-0.260230834272695,0.0836254823804673,345.443536867943,-3.11186048636148,0.197380920455145
R postbreeding - NR nonbreeding,0.146297602281955,0.101209025451322,345.443536867943,1.4454995651778,1
R postbreeding - R nonbreeding,-0.0154455166853112,0.0414027400064432,699.000000000011,-0.37305542297219,1
R postbreeding - N prebreeding,0.156151154259646,0.070250010153017,345.443536867934,2.22279191020073,1
R postbreeding - S prebreeding,-0.100142749099083,0.0836254823804673,345.443536867943,-1.19751475565148,1
R postbreeding - NR prebreeding,0.0949350250714224,0.101209025451322,345.443536867943,0.938009477396683,1
R postbreeding - R prebreeding,-0.050409635477967,0.0414027400064432,699.000000000011,-1.21754346379303,1
N nonbreeding - S nonbreeding,-0.457091071581281,0.070761281725829,345.443536867934,-6.4596211435559,4.28092064191299e-08
N nonbreeding - NR nonbreeding,-0.0505626350266314,0.0908691615506751,345.443536867934,-0.556433383601037,1
N nonbreeding - R nonbreeding,-0.212305753993898,0.070250010153017,345.443536867934,-3.02214552754452,0.258939530121356
N nonbreeding - N prebreeding,-0.0407090830489405,0.0270257778912323,698.999999999976,-1.506305691284,1
N nonbreeding - S prebreeding,-0.297002986407669,0.070761281725829,345.443536867934,-4.1972527795417,0.0038529772874385
N nonbreeding - NR prebreeding,-0.101925212237164,0.0908691615506751,345.443536867934,-1.12166999780584,1
N nonbreeding - R prebreeding,-0.247269872786553,0.070250010153017,345.443536867934,-3.51985533166409,0.0509194132303696
S nonbreeding - NR nonbreeding,0.40652843655465,0.101564570091098,345.443536867943,4.00265994519561,0.00851210472604687
S nonbreeding - R nonbreeding,0.244785317587383,0.0836254823804673,345.443536867943,2.9271618006781,0.335558996298482
S nonbreeding - N prebreeding,0.41638198853234,0.070761281725829,345.443536867934,5.88431948061159,1.11555132770003e-06
S nonbreeding - S prebreeding,0.160088085173612,0.0418317954038391,699.000000000011,3.82694750794559,0.0154088211163777
S nonbreeding - NR prebreeding,0.355165859344117,0.101564570091098,345.443536867943,3.49694641571911,0.0548014479798209
S nonbreeding - R prebreeding,0.209821198794728,0.0836254823804673,345.443536867943,2.5090581581355,1
NR nonbreeding - R nonbreeding,-0.161743118967266,0.101209025451322,345.443536867943,-1.59810963741626,1
NR nonbreeding - N prebreeding,0.00985355197769092,0.0908691615506751,345.443536867943,0.108436699640899,1
NR nonbreeding - S prebreeding,-0.246440351381038,0.101564570091098,345.443536867943,-2.4264401568381,1
NR nonbreeding - NR prebreeding,-0.0513625772105324,0.0579638360090204,698.999999999976,-0.886114183377016,1
