X1,estimate,SE,df,t.ratio,p.value
N breeding - S breeding,-0.144882434354875,0.065312595996149,335.781066009449,-2.21829238518428,1
N breeding - NR breeding,0.0193110507111584,0.0838721500249727,335.781066009441,0.230243897472624,1
N breeding - R breeding,-0.0785416389076528,0.0648406928188045,335.781066009449,-1.21130166093591,1
N breeding - N postbreeding,0.0716479876628019,0.0240730901615752,699.000000000226,2.97626882057562,0.271668306185469
N breeding - S postbreeding,-0.255406581990714,0.065312595996149,335.781066009449,-3.91052565122007,0.0117026309371503
N breeding - NR postbreeding,0.0284385484399705,0.0838721500249727,335.781066009433,0.33907022094346,1
N breeding - R postbreeding,-0.0997945939878903,0.0648406928188045,335.781066009449,-1.53907353005563,1
N breeding - N nonbreeding,0.102845298188897,0.0240730901615751,699.000000000119,4.27221006936021,0.00244599486670825
N breeding - S nonbreeding,-0.350375421115439,0.065312595996149,335.781066009449,-5.36459186427221,1.74147721811618e-05
N breeding - NR nonbreeding,0.0473294387225833,0.0838721500249727,335.781066009433,0.564304583923163,1
N breeding - R nonbreeding,-0.105873504277934,0.0648406928188045,335.781066009449,-1.63282500040206,1
N breeding - N prebreeding,0.0425426594201022,0.0240730901615751,699.000000000047,1.7672288490826,1
N breeding - S prebreeding,-0.203375066212766,0.065312595996149,335.781066009449,-3.11387203510878,0.18449028351753
N breeding - NR prebreeding,0.0137868687734342,0.0838721500249727,335.781066009433,0.164379579745234,1
N breeding - R prebreeding,-0.133701597419692,0.0648406928188045,335.781066009449,-2.06200136993165,1
S breeding - NR breeding,0.164193485066033,0.0937440019753236,335.781066009433,1.75150923372414,1
S breeding - R breeding,0.0663407954472219,0.0771862410132823,335.781066009433,0.859489911366534,1
S breeding - N postbreeding,0.216530422017677,0.065312595996149,335.781066009473,3.31529345473335,0.100535841197541
S breeding - S postbreeding,-0.110524147635839,0.0372614837001188,699.000000000011,-2.96617677721424,0.277509809258961
S breeding - NR postbreeding,0.173320982794845,0.0937440019753235,335.781066009433,1.84887543888375,1
S breeding - R postbreeding,0.0450878403669845,0.0771862410132823,335.781066009433,0.584143492092402,1
S breeding - N nonbreeding,0.247727732543772,0.065312595996149,335.781066009473,3.7929549234022,0.0181805306296234
S breeding - S nonbreeding,-0.205492986760564,0.0372614837001188,698.999999999976,-5.51489007830112,5.75145430604825e-06
S breeding - NR nonbreeding,0.192211873077458,0.0937440019753236,335.781066009433,2.05039116132523,1
S breeding - R nonbreeding,0.0390089300769405,0.0771862410132823,335.781066009433,0.505387094446377,1
S breeding - N prebreeding,0.187425093774977,0.065312595996149,335.781066009457,2.86966228973701,0.377899231363398
S breeding - S prebreeding,-0.0584926318578911,0.0372614837001188,698.999999999976,-1.56978805054144,1
S breeding - NR prebreeding,0.158669303128309,0.0937440019753236,335.781066009433,1.69258085621388,1
S breeding - R prebreeding,0.0111808369351824,0.0771862410132823,335.781066009433,0.144855310848191,1
NR breeding - R breeding,-0.0978526896188112,0.0934158346096413,335.781066009433,-1.04749574874228,1
NR breeding - N postbreeding,0.0523369369516435,0.0838721500249727,335.781066009449,0.624008528886649,1
NR breeding - S postbreeding,-0.274717632701872,0.0937440019753236,335.781066009433,-2.93050890631047,0.318195911513958
NR breeding - NR postbreeding,0.00912749772881216,0.0516310263472042,699.000000000011,0.176783193644695,1
NR breeding - R postbreeding,-0.119105644699049,0.0934158346096413,335.781066009433,-1.27500487681513,1
NR breeding - N nonbreeding,0.0835342474777391,0.0838721500249727,335.781066009449,0.99597121872835,1
NR breeding - S nonbreeding,-0.369686471826597,0.0937440019753236,335.781066009433,-3.94357467183778,0.0103605223572712
NR breeding - NR nonbreeding,0.028018388011425,0.0516310263472042,698.999999999976,0.542665718535385,1
NR breeding - R nonbreeding,-0.125184554989093,0.0934158346096413,335.781066009433,-1.34007853713671,1
NR breeding - N prebreeding,0.0232316087089438,0.0838721500249727,335.781066009441,0.276988353130647,1
NR breeding - S prebreeding,-0.222686116923924,0.0937440019753236,335.781066009433,-2.37547056058629,1
NR breeding - NR prebreeding,-0.00552418193772416,0.0516310263472042,698.999999999976,-0.106993455845243,1
NR breeding - R prebreeding,-0.153012648130851,0.0934158346096413,335.781066009433,-1.63797335612584,1
R breeding - N postbreeding,0.150189626570455,0.0648406928188045,335.781066009473,2.3162865793269,1
R breeding - S postbreeding,-0.176864943083061,0.0771862410132823,335.781066009433,-2.29140505822308,1
R breeding - NR postbreeding,0.106980187347623,0.0934158346096413,335.781066009433,1.14520399881523,1
R breeding - R postbreeding,-0.0212529550802374,0.0368793045337173,699.000000000011,-0.576284052775634,1
R breeding - N nonbreeding,0.18138693709655,0.0648406928188045,335.781066009473,2.79742441376176,0.457653467478169
R breeding - S nonbreeding,-0.271833782207786,0.0771862410132823,335.781066009433,-3.52179065386807,0.0487897616802591
R breeding - NR nonbreeding,0.125871077630236,0.0934158346096413,335.781066009433,1.34742764068015,1
R breeding - R nonbreeding,-0.0273318653702814,0.0368793045337173,698.999999999976,-0.74111661583241,1
R breeding - N prebreeding,0.121084298327755,0.0648406928188045,335.781066009457,1.86741216146659,1
R breeding - S prebreeding,-0.124833427305113,0.0771862410132823,335.781066009433,-1.6173015509802,1
R breeding - NR prebreeding,0.0923285076810871,0.0934158346096413,335.781066009433,0.988360357394463,1
R breeding - R prebreeding,-0.0551599585120395,0.0368793045337173,699.000000000011,-1.495688685279,1
N postbreeding - S postbreeding,-0.327054569653516,0.065312595996149,335.781066009465,-5.00752672076914,0.000101728467804839
N postbreeding - NR postbreeding,-0.0432094392228314,0.0838721500249727,335.781066009441,-0.515182205415813,1
N postbreeding - R postbreeding,-0.171442581650692,0.0648406928188045,335.781066009465,-2.64405844844662,0.686109598399272
N postbreeding - N nonbreeding,0.0311973105260955,0.0240730901615751,699.000000000047,1.29594124878458,1
N postbreeding - S nonbreeding,-0.422023408778241,0.065312595996149,335.781066009465,-6.46159293382128,4.33533746275952e-08
N postbreeding - NR nonbreeding,-0.0243185489402185,0.0838721500249727,335.781066009441,-0.28994784243611,1
N postbreeding - R nonbreeding,-0.177521491940736,0.0648406928188045,335.781066009465,-2.73780991879305,0.540709801300431
N postbreeding - N prebreeding,-0.0291053282426997,0.0240730901615751,699.000000000047,-1.20903997149302,1
N postbreeding - S prebreeding,-0.275023053875568,0.065312595996149,335.781066009465,-4.21087310465785,0.00356525710606529
N postbreeding - NR prebreeding,-0.0578611188893677,0.0838721500249727,335.781066009441,-0.689872846614039,1
N postbreeding - R prebreeding,-0.205349585082494,0.0648406928188045,335.781066009473,-3.16698628832264,0.159373489817402
S postbreeding - NR postbreeding,0.283845130430684,0.0937440019753235,335.781066009433,3.02787511147008,0.241460956398633
S postbreeding - R postbreeding,0.155611988002824,0.0771862410132823,335.781066009433,2.01605863894895,1
S postbreeding - N nonbreeding,0.358251880179611,0.065312595996149,335.781066009465,5.48518818943799,9.44359928369177e-06
S postbreeding - S nonbreeding,-0.0949688391247249,0.0372614837001188,698.999999999976,-2.54871330108688,0.870956333720071
S postbreeding - NR nonbreeding,0.302736020713297,0.0937440019753236,335.781066009433,3.22939083391156,0.132222046188962
S postbreeding - R nonbreeding,0.14953307771278,0.0771862410132823,335.781066009433,1.93730224130293,1
S postbreeding - N prebreeding,0.297949241410816,0.065312595996149,335.781066009457,4.56189555577279,0.000797090990024767
S postbreeding - S prebreeding,0.0520315157779479,0.0372614837001188,698.999999999976,1.39638872667279,1
S postbreeding - NR prebreeding,0.269193450764148,0.0937440019753236,335.781066009433,2.87158052880022,0.377899231363398
S postbreeding - R prebreeding,0.121704984571021,0.0771862410132823,335.781066009433,1.57677045770474,1
NR postbreeding - R postbreeding,-0.128233142427861,0.0934158346096413,335.781066009433,-1.37271312688808,1
NR postbreeding - N nonbreeding,0.0744067497489269,0.0838721500249727,335.781066009441,0.887144895257514,1
NR postbreeding - S nonbreeding,-0.378813969555409,0.0937440019753235,335.781066009433,-4.04094087699739,0.00713273419854868
NR postbreeding - NR nonbreeding,0.0188908902826128,0.0516310263472042,698.999999999976,0.36588252489069,1
NR postbreeding - R nonbreeding,-0.134312052717905,0.0934158346096413,335.781066009433,-1.43778678720966,1
NR postbreeding - N prebreeding,0.0141041109801316,0.0838721500249727,335.781066009449,0.168162029659812,1
NR postbreeding - S prebreeding,-0.231813614652736,0.0937440019753235,335.781066009433,-2.4728367657459,1
NR postbreeding - NR prebreeding,-0.0146516796665363,0.0516310263472042,698.999999999976,-0.283776649489938,1
NR postbreeding - R prebreeding,-0.162140145859663,0.0934158346096413,335.781066009433,-1.73568160619879,1
R postbreeding - N nonbreeding,0.202639892176788,0.0648406928188045,335.781066009465,3.12519628288148,0.179659643969281
R postbreeding - S nonbreeding,-0.250580827127548,0.0771862410132823,335.781066009433,-3.24644423459394,0.126064645727704
R postbreeding - NR nonbreeding,0.147124032710474,0.0934158346096413,335.781066009433,1.57493676875301,1
R postbreeding - R nonbreeding,-0.00607891029004401,0.0368793045337173,698.999999999976,-0.164832563056776,1
R postbreeding - N prebreeding,0.142337253407992,0.0648406928188045,335.781066009457,2.19518403058632,1
R postbreeding - S prebreeding,-0.103580472224876,0.0771862410132823,335.781066009433,-1.34195513170607,1
R postbreeding - NR prebreeding,0.113581462761324,0.0934158346096413,335.781066009433,1.21586948546732,1
R postbreeding - R prebreeding,-0.0339070034318021,0.0368793045337173,698.999999999976,-0.919404632503367,1
N nonbreeding - S nonbreeding,-0.453220719304336,0.065312595996149,335.781066009465,-6.93925440249013,2.44730087956039e-09
N nonbreeding - NR nonbreeding,-0.0555158594663141,0.0838721500249727,335.781066009441,-0.661910532277811,1
N nonbreeding - R nonbreeding,-0.208718802466832,0.0648406928188045,335.781066009465,-3.21894775322791,0.135569209249009
N nonbreeding - N prebreeding,-0.0603026387687953,0.0240730901615751,699.000000000011,-2.5049812202776,0.972834973302335
N nonbreeding - S prebreeding,-0.306220364401663,0.065312595996149,335.781066009465,-4.6885345733267,0.000452854235855609
N nonbreeding - NR prebreeding,-0.0890584294154632,0.0838721500249727,335.781066009441,-1.06183553645574,1
N nonbreeding - R prebreeding,-0.23654689560859,0.0648406928188045,335.781066009473,-3.6481241227575,0.0309197784810766
S nonbreeding - NR nonbreeding,0.397704859838022,0.0937440019753236,335.781066009433,4.24245659943887,0.0031493278908038
S nonbreeding - R nonbreeding,0.244501916837504,0.0771862410132823,335.781066009433,3.16768783694791,0.159373489817402
S nonbreeding - N prebreeding,0.392918080535541,0.065312595996149,335.781066009457,6.01596176882493,5.51609105617135e-07
S nonbreeding - S prebreeding,0.147000354902673,0.0372614837001188,698.999999999976,3.94510202775968,0.0093963275692192
S nonbreeding - NR prebreeding,0.364162289888873,0.0937440019753236,335.781066009433,3.88464629432753,0.0128382003109997
S nonbreeding - R prebreeding,0.216673823695746,0.0771862410132823,335.781066009433,2.80715605334973,0.44965467817866
NR nonbreeding - R nonbreeding,-0.153202943000518,0.0934158346096413,335.781066009433,-1.64001042907458,1
