X1,estimate,SE,df,t.ratio,p.value
AF breeding - AH breeding,0.15630664906991,0.0029963011934086,23976,52.1665343303138,0
AF breeding - B breeding,-0.114117778420361,0.00299630119340679,23976,-38.0862173240366,5.36215444604044e-306
AF breeding - F breeding,0.0706252279235069,0.00299630119340852,23976,23.5708039228077,2.0344814549352e-119
AF breeding - G breeding,0.192471940642057,0.00299630119340849,23976,64.2365130266184,0
AF breeding - GH breeding,0.204622261072242,0.00299630119340804,23976,68.2916195215682,0
AF breeding - AF postbreeding,0.154042857142863,0.00299630119340814,23976,51.4110055029706,0
AF breeding - AH postbreeding,0.134666009480724,0.00299630119340811,23976,44.9440829837103,0
AF breeding - B postbreeding,-0.0100846050719777,0.00299630119340744,23976,-3.36568469624022,0.0114710600040066
AF breeding - F postbreeding,0.130371638523172,0.00299630119340797,23976,43.510858924996,0
AF breeding - G postbreeding,0.208827104633064,0.00299630119340795,23976,69.6949642754528,0
AF breeding - GH postbreeding,0.21410139860138,0.00299630119340797,23976,71.4552325622055,0
AF breeding - AF nonbreeding,0.242177633185505,0.00299630119340779,23976,80.8255303967184,0
AF breeding - AH nonbreeding,0.241355350480259,0.00299630119340801,23976,80.5510978039358,0
AF breeding - B nonbreeding,0.0412128407824356,0.00299630119340744,23976,13.7545720947926,4.45283777630802e-41
AF breeding - F nonbreeding,0.0895791508031885,0.00299630119340804,23976,29.8965774870248,1.03879674070948e-190
AF breeding - G nonbreeding,0.218878717301647,0.0029963011934082,23976,73.0496379279814,0
AF breeding - GH nonbreeding,0.302198717948677,0.00299630119340793,23976,100.857256477932,0
AF breeding - AF prebreeding,0.167573992673976,0.0029963011934081,23976,55.9269518840899,0
AF breeding - AH prebreeding,0.130733621525592,0.00299630119340833,23976,43.6316688766796,0
AF breeding - B prebreeding,-0.080587772080403,0.00299630119340753,23976,-26.8957514210228,6.31007466047366e-155
AF breeding - F prebreeding,0.101732658988092,0.00299630119340811,23976,33.952747878586,1.14263210455098e-244
AF breeding - G prebreeding,0.151338643506946,0.00299630119340842,23976,50.508488212025,0
AF breeding - GH prebreeding,0.196801282051278,0.00299630119340824,23976,65.6814082924086,0
AH breeding - B breeding,-0.270424427490271,0.00299630119340803,23976,-90.2527516543444,0
AH breeding - F breeding,-0.0856814211464029,0.00299630119340865,23976,-28.5957304075062,9.10102588635886e-175
AH breeding - G breeding,0.0361652915721468,0.0029963011934087,23976,12.0699786963019,1.00844022806389e-31
AH breeding - GH breeding,0.0483156120023326,0.00299630119340847,23976,16.1250851912423,2.47828437247398e-56
AH breeding - AF postbreeding,-0.0022637919270467,0.00299630119340847,23976,-0.755528827351134,1
AH breeding - AH postbreeding,-0.0216406395891855,0.00299630119340855,23976,-7.22245134661091,1.6300597865497e-11
AH breeding - B postbreeding,-0.166391254141888,0.00299630119340872,23976,-55.5322190265505,0
AH breeding - F postbreeding,-0.0259350105467383,0.00299630119340878,23976,-8.65567540532632,2.02908852520023e-16
AH breeding - G postbreeding,0.0525204555631542,0.00299630119340868,23976,17.5284299451236,1.88068885641764e-66
AH breeding - GH postbreeding,0.0577947495314705,0.00299630119340866,23976,19.2886982318763,2.41699303735494e-80
AH breeding - AF nonbreeding,0.0858709841155949,0.0029963011934083,23976,28.6589960663855,1.5883710123788e-175
