X1,estimate,SE,df,t.ratio,p.value
AF breeding - AH breeding,0.10264665750919,0.00289272324450342,23976,35.4844376157424,1.0935027191932e-266
AF breeding - B breeding,-0.0615489878542077,0.00289272324450168,23976,-21.2771781646227,1.43113036976582e-97
AF breeding - F breeding,0.0496527097911243,0.00289272324450335,23976,17.1646941633537,9.64047273685129e-64
AF breeding - G breeding,0.10629718306768,0.00289272324450331,23976,36.74640609663,1.88718129887535e-285
AF breeding - GH breeding,-0.0995329059828937,0.00289272324450288,23976,-34.4080292409717,3.72692678773329e-251
AF breeding - AF postbreeding,0.18931410256411,0.00289272324450298,23976,65.4449411722544,0
AF breeding - AH postbreeding,0.138511783559617,0.00289272324450295,23976,47.8828328367851,0
AF breeding - B postbreeding,0.0469210622711159,0.0028927232445023,23976,16.2203772380544,5.66288200846994e-57
AF breeding - F postbreeding,0.124719295641196,0.00289272324450282,23976,43.114838544685,0
AF breeding - G postbreeding,0.0958289523308705,0.0028927232445028,23976,33.1275909345906,3.18000644057454e-233
AF breeding - GH postbreeding,0.120847902097909,0.00289272324450282,23976,41.7765171028934,0
AF breeding - AF nonbreeding,0.223186118293451,0.00289272324450264,23976,77.1543280946755,0
AF breeding - AH nonbreeding,0.094190705128237,0.00289272324450286,23976,32.5612570463596,1.69864998573492e-225
AF breeding - B nonbreeding,0.020923716138976,0.0028927232445023,23976,7.23322432546635,2.04044529384923e-11
AF breeding - F nonbreeding,0.0793174605417778,0.00289272324450289,23976,27.4196505637056,5.64282957104111e-161
AF breeding - G nonbreeding,0.0891377635689003,0.00289272324450303,23976,30.8144803476401,2.04843093331103e-202
AF breeding - GH nonbreeding,0.380739010989008,0.00289272324450278,23976,131.619577404285,0
AF breeding - AF prebreeding,0.189260989010994,0.00289272324450294,23976,65.4265800818129,0
AF breeding - AH prebreeding,0.206292665912563,0.00289272324450316,23976,71.3143458519812,0
AF breeding - B prebreeding,-0.159880859199232,0.00289272324450239,23976,-55.270015720683,0
AF breeding - F prebreeding,0.101470791110235,0.00289272324450295,23976,35.0779464655183,9.0889615073322e-261
AF breeding - G prebreeding,0.0858483216468422,0.00289272324450325,23976,29.6773366791902,4.94155334099158e-188
AF breeding - GH prebreeding,0.206044871794858,0.00289272324450308,23976,71.2286846612086,0
AH breeding - B breeding,-0.164195645363397,0.00289272324450288,23976,-56.761615780363,0
AH breeding - F breeding,-0.0529939477180654,0.00289272324450347,23976,-18.3197434523888,1.5779245803317e-72
AH breeding - G breeding,0.00365052555849017,0.00289272324450352,23976,1.26196848088616,1
AH breeding - GH breeding,-0.202179563492083,0.00289272324450329,23976,-69.8924668567108,0
AH breeding - AF postbreeding,0.0866674450549204,0.0028927232445033,23976,29.9605035565031,1.44925388441321e-191
AH breeding - AH postbreeding,0.0358651260504278,0.00289272324450338,23976,12.3983952210351,2.11934675432598e-33
AH breeding - B postbreeding,-0.0557255952380737,0.00289272324450353,23976,-19.2640603776936,3.90796749787146e-80
AH breeding - F postbreeding,0.0220726381320068,0.0028927232445036,23976,7.63040092893316,1.043708336215e-12
AH breeding - G postbreeding,-0.0068177051783191,0.0028927232445035,23976,-2.35684668115884,0.258143898423065
AH breeding - GH postbreeding,0.0182012445887194,0.00289272324450348,23976,6.29207948714206,1.2108956288355e-08
AH breeding - AF nonbreeding,0.120539460784261,0.00289272324450314,23976,41.6698904789164,0
AH breeding - AH nonbreeding,-0.00845595238095265,0.0028927232445035,23976,-2.92318056938904,0.0589558903920086
AH breeding - B nonbreeding,-0.0817229413702136,0.00289272324450362,23976,-28.251213290277,1.03976922541719e-170
AH breeding - F nonbreeding,-0.0233291969674119,0.00289272324450353,23976,-8.06478705204162,3.53138405910214e-14
AH breeding - G nonbreeding,-0.0135088939402893,0.0028927232445034,23976,-4.66995726810651,6.96657566640377e-05
AH breeding - GH nonbreeding,0.278092353479819,0.00289272324450344,23976,96.1351397885127,0
AH breeding - AF prebreeding,0.0866143315018039,0.00289272324450325,23976,29.9421424660614,2.44369826033488e-191
AH breeding - AH prebreeding,0.103646008403374,0.00289272324450278,23976,35.8299082362402,9.25315002206126e-272
AH breeding - B prebreeding,-0.262527516708422,0.00289272324450335,23976,-90.754453336408,0
AH breeding - F prebreeding,-0.00117586639895494,0.00289272324450338,23976,-0.406491150229898,1
AH breeding - G prebreeding,-0.0167983358623474,0.0028927232445033,23976,-5.80710093655427,1.99534569852282e-07
AH breeding - GH prebreeding,0.103398214285668,0.00289272324450331,23976,35.7442470454591,1.6681230179391e-270
B breeding - F breeding,0.111201697645332,0.00289272324450271,23976,38.4418723279726,1.36149589928526e-311
B breeding - G breeding,0.167846170921888,0.00289272324450274,23976,58.0235842612522,0
B breeding - GH breeding,-0.037983918128686,0.0028927232445026,23976,-13.1308510763591,1.9464599283675e-37
B breeding - AF postbreeding,0.250863090418318,0.00289272324450264,23976,86.7221193368777,0
B breeding - AH postbreeding,0.200060771413825,0.00289272324450292,23976,69.1600110013993,0
B breeding - B postbreeding,0.108470050125324,0.00289272324450319,23976,37.497555402661,6.58701548745955e-297
B breeding - F postbreeding,0.186268283495404,0.00289272324450289,23976,64.3920167092978,0
B breeding - G postbreeding,0.157377940185078,0.00289272324450277,23976,54.4047690992056,0
B breeding - GH postbreeding,0.182396889952117,0.00289272324450275,23976,63.0536952675092,0
B breeding - AF nonbreeding,0.284735106147659,0.00289272324450264,23976,98.4315062592912,0
B breeding - AH nonbreeding,0.155739692982445,0.00289272324450291,23976,53.8384352109727,0
B breeding - B nonbreeding,0.0824727039931837,0.0028927232445034,23976,28.5104024900737,8.43603210433297e-174
B breeding - F nonbreeding,0.140866448395985,0.0028927232445028,23976,48.6968287283209,0
B breeding - G nonbreeding,0.150686751423108,0.00289272324450264,23976,52.0916585122599,0
B breeding - GH nonbreeding,0.442287998843216,0.00289272324450266,23976,152.896755568906,0
B breeding - AF prebreeding,0.250809976865201,0.00289272324450256,23976,86.7037582464379,0
B breeding - AH prebreeding,0.267841653766771,0.00289272324450256,23976,92.5915240166122,0
B breeding - B prebreeding,-0.0983318713450247,0.00289272324450313,23976,-33.9928375560569,2.81796654747947e-245
B breeding - F prebreeding,0.163019778964442,0.00289272324450276,23976,56.3551246301353,0
B breeding - G prebreeding,0.14739730950105,0.00289272324450273,23976,50.9545148438105,0
B breeding - GH prebreeding,0.267593859649066,0.00289272324450265,23976,92.5058628258347,0
F breeding - G breeding,0.0566444732765556,0.00289272324450348,23976,19.5817119332749,8.95359071375882e-83
F breeding - GH breeding,-0.149185615774018,0.00289272324450324,23976,-51.5727234043218,0
F breeding - AF postbreeding,0.139661392772986,0.00289272324450321,23976,48.2802470088945,0
F breeding - AH postbreeding,0.0888590737684932,0.00289272324450346,23976,30.7181386734236,3.52904667149787e-201
F breeding - B postbreeding,-0.00273164752000834,0.00289272324450356,23976,-0.944316925305151,1
F breeding - F postbreeding,0.0750665858500722,0.00289272324450361,23976,25.9501443813211,2.01952357886724e-144
F breeding - G postbreeding,0.0461762425397463,0.0028927232445034,23976,15.9628967712303,3.42203923463826e-55
F breeding - GH postbreeding,0.0711951923067848,0.00289272324450338,23976,24.6118229395316,4.19805807317662e-130
F breeding - AF nonbreeding,0.173533408502327,0.00289272324450329,23976,59.989633931304,0
F breeding - AH nonbreeding,0.0445379953371127,0.00289272324450351,23976,15.3965628829995,2.26627350278606e-51
F breeding - B nonbreeding,-0.0287289936521483,0.00289272324450366,23976,-9.9314698378889,1.71751810014273e-21
F breeding - F nonbreeding,0.0296647507506535,0.00289272324450336,23976,10.2549564003474,6.69927457097214e-23
F breeding - G nonbreeding,0.0394850537777761,0.00289272324450336,23976,13.6497861842829,1.98125195209918e-40
F breeding - GH nonbreeding,0.331086301197884,0.00289272324450339,23976,114.454883240904,0
F breeding - AF prebreeding,0.139608279219869,0.00289272324450307,23976,48.2618859184547,0
F breeding - AH prebreeding,0.156639956121439,0.00289272324450315,23976,54.1496516886265,0
F breeding - B prebreeding,-0.209533568990357,0.00289272324450347,23976,-72.4347098840155,0
F breeding - F prebreeding,0.0518180813191104,0.00289272324450347,23976,17.9132523021589,2.25079194038615e-69
F breeding - G prebreeding,0.036195611855718,0.00289272324450338,23976,12.5126425158353,5.19051985353498e-34
F breeding - GH prebreeding,0.156392162003734,0.00289272324450337,23976,54.0639904978479,0
G breeding - GH breeding,-0.205830089050574,0.00289272324450338,23976,-71.1544353375948,0
