X1,estimate,SE,df,t.ratio,p.value
N breeding - S breeding,0.186798587746709,0.00182072328328968,15984,102.595814235539,0
N breeding - NR breeding,0.398736861619144,0.0018207232832894,15984,218.99915559863,0
N breeding - R breeding,0.0258551291741209,0.0018207232832896,15984,14.2004715441476,2.06464013589494e-44
N breeding - N postbreeding,0.145142454960072,0.00182072328328956,15984,79.7169214521378,0
N breeding - S postbreeding,0.157009811395167,0.00182072328328939,15984,86.2348566837169,0
N breeding - NR postbreeding,0.44632719182787,0.00182072328328935,15984,245.137301161728,0
N breeding - R postbreeding,0.0101095004595957,0.00182072328328954,15984,5.55246398636188,1.00871668365582e-07
N breeding - N nonbreeding,0.146860092217544,0.00182072328328951,15984,80.6603032791512,0
N breeding - S nonbreeding,-0.0165305002733439,0.00182072328328942,15984,-9.07908435348782,1.34239941063431e-18
N breeding - NR nonbreeding,0.43457051349706,0.00182072328328956,15984,238.680153917683,0
N breeding - R nonbreeding,0.0803956891508629,0.00182072328328961,15984,44.1559076487488,0
N breeding - N prebreeding,0.157593924655425,0.0018207232832898,15984,86.5556705413655,0
N breeding - S prebreeding,0.110235868295678,0.00182072328328958,15984,60.5450972739308,0
N breeding - NR prebreeding,0.360061119074974,0.00182072328328946,15984,197.75718934316,0
N breeding - R prebreeding,-0.0304108840924924,0.00182072328328965,15984,-16.7026392047596,7.16252331749343e-61
S breeding - NR breeding,0.211938273872435,0.00182072328328957,15984,116.403341363064,0
S breeding - R breeding,-0.160943458572588,0.00182072328328962,15984,-88.3953426913955,0
S breeding - N postbreeding,-0.0416561327866368,0.00182072328328955,15984,-22.8788927834083,1.21898272503442e-112
S breeding - S postbreeding,-0.0297887763515419,0.00182072328328977,15984,-16.3609575518352,1.66489290478188e-58
S breeding - NR postbreeding,0.259528604081161,0.00182072328328968,15984,142.541486926144,0
S breeding - R postbreeding,-0.176689087287113,0.00182072328328966,15984,-97.0433502491789,0
S breeding - N nonbreeding,-0.0399384955291656,0.00182072328328955,15984,-21.9355109563973,9.25804199351465e-104
S breeding - S nonbreeding,-0.203329088020053,0.00182072328328963,15984,-111.674898589029,0
S breeding - NR nonbreeding,0.247771925750351,0.0018207232832896,15984,136.084339682134,0
S breeding - R nonbreeding,-0.106402898595846,0.00182072328328957,15984,-58.4399065867955,0
S breeding - N prebreeding,-0.0292046630912842,0.00182072328328964,15984,-16.0401436941686,2.63352708957493e-56
S breeding - S prebreeding,-0.0765627194510311,0.00182072328328968,15984,-42.050716961612,0
S breeding - NR prebreeding,0.173262531328265,0.00182072328328964,15984,95.161375107599,0
S breeding - R prebreeding,-0.217209471839202,0.00182072328328958,15984,-119.298453440305,0
NR breeding - R breeding,-0.372881732445023,0.00182072328328945,15984,-204.798684054475,0
NR breeding - N postbreeding,-0.253594406659072,0.00182072328328931,15984,-139.282234146492,0
NR breeding - S postbreeding,-0.241727050223977,0.00182072328328954,15984,-132.764298914903,0
NR breeding - NR postbreeding,0.0475903302087263,0.00182072328328969,15984,26.1381455630863,4.65295884141901e-146
NR breeding - R postbreeding,-0.388627361159548,0.00182072328328945,15984,-213.446691612262,0
NR breeding - N nonbreeding,-0.2518767694016,0.00182072328328945,15984,-138.33885231947,0
NR breeding - S nonbreeding,-0.415267361892488,0.00182072328328952,15984,-228.078239952103,0
NR breeding - NR nonbreeding,0.0358336518779164,0.00182072328328949,15984,19.6809983190724,6.07433593880907e-84
NR breeding - R nonbreeding,-0.318341172468281,0.00182072328328938,15984,-174.843247949878,0
NR breeding - N prebreeding,-0.241142936963719,0.00182072328328948,15984,-132.44348505724,0
NR breeding - S prebreeding,-0.288500993323466,0.00182072328328952,15984,-158.454058324683,0
NR breeding - NR prebreeding,-0.0386757425441701,0.00182072328328953,15984,-21.241966255462,1.89722809662605e-97
NR breeding - R prebreeding,-0.429147745711636,0.00182072328328939,15984,-235.701794803394,0
R breeding - N postbreeding,0.119287325785951,0.00182072328328947,15984,65.5164499079933,0
R breeding - S postbreeding,0.131154682221046,0.00182072328328962,15984,72.0343851395588,0
R breeding - NR postbreeding,0.420472062653749,0.00182072328328964,15984,230.936829617542,0
R breeding - R postbreeding,-0.0157456287145252,0.00182072328328959,15984,-8.64800755778593,5.73147466238905e-17
R breeding - N nonbreeding,0.121004963043423,0.0018207232832896,15984,66.4598317349994,0
R breeding - S nonbreeding,-0.0423856294474649,0.00182072328328956,15984,-23.2795558976349,1.62203056990291e-116
R breeding - NR nonbreeding,0.408715384322939,0.00182072328328951,15984,224.479682373541,0
R breeding - R nonbreeding,0.054540559976742,0.00182072328328943,15984,29.9554361046044,2.08868500280495e-190
R breeding - N prebreeding,0.131738795481304,0.00182072328328968,15984,72.3551989972242,0
R breeding - S prebreeding,0.0843807391215571,0.00182072328328955,15984,46.3446257297838,0
R breeding - NR prebreeding,0.334205989900853,0.00182072328328959,15984,183.556717798998,0
R breeding - R prebreeding,-0.0562660132666133,0.00182072328328941,15984,-30.903110748911,3.04775053368095e-202
N postbreeding - S postbreeding,0.0118673564350949,0.00182072328328967,15984,6.51793523157074,5.13907673870593e-10
N postbreeding - NR postbreeding,0.301184736867798,0.0018207232832897,15984,165.420379709549,0
N postbreeding - R postbreeding,-0.135032954500477,0.00182072328328962,15984,-74.1644574657735,0
N postbreeding - N nonbreeding,0.00171763725747123,0.00182072328328951,15984,0.943381827011057,0.690999787462395
N postbreeding - S nonbreeding,-0.161672955233416,0.00182072328328955,15984,-88.7960058056254,0
N postbreeding - NR nonbreeding,0.289428058536988,0.00182072328328954,15984,158.963232465546,0
N postbreeding - R nonbreeding,-0.0647467658092094,0.00182072328328955,15984,-35.561013803388,3.7922424715013e-265
N postbreeding - N prebreeding,0.0124514696953526,0.00182072328328959,15984,6.83874908923882,6.62257554108951e-11
N postbreeding - S prebreeding,-0.0349065866643943,0.00182072328328952,15984,-19.1718241782069,9.28474381645238e-80
N postbreeding - NR prebreeding,0.214918664114902,0.00182072328328952,15984,118.040267891014,0
N postbreeding - R prebreeding,-0.175553339052565,0.00182072328328948,15984,-96.4195606569023,0
S postbreeding - NR postbreeding,0.289317380432703,0.00182072328328964,15984,158.902444477983,0
S postbreeding - R postbreeding,-0.146900310935572,0.0018207232832896,15984,-80.6823926973454,0
S postbreeding - N nonbreeding,-0.0101497191776237,0.00182072328328966,15984,-5.57455340455978,1.00871668365582e-07
S postbreeding - S nonbreeding,-0.173540311668511,0.00182072328328963,15984,-95.3139410371923,0
S postbreeding - NR nonbreeding,0.277560702101893,0.00182072328328966,15984,152.445297233965,0
S postbreeding - R nonbreeding,-0.0766141222443043,0.00182072328328962,15984,-42.0789490349575,0
S postbreeding - N prebreeding,0.000584113260257729,0.0018207232832897,15984,0.320813857667788,0.748355651259624
S postbreeding - S prebreeding,-0.0467739430994892,0.00182072328328964,15984,-25.6897594097766,3.05862721247569e-141
S postbreeding - NR prebreeding,0.203051307679807,0.00182072328328964,15984,111.522332659436,0
S postbreeding - R prebreeding,-0.18742069548766,0.00182072328328957,15984,-102.937495888469,0
NR postbreeding - R postbreeding,-0.436217691368275,0.00182072328328962,15984,-239.584837175329,0
NR postbreeding - N nonbreeding,-0.299467099610327,0.00182072328328965,15984,-164.476997882542,0
NR postbreeding - S nonbreeding,-0.462857692101214,0.00182072328328967,15984,-254.216385515171,0
NR postbreeding - NR nonbreeding,-0.0117566783308099,0.00182072328328963,15984,-6.45714724401628,6.58633516787502e-10
NR postbreeding - R nonbreeding,-0.365931502677007,0.00182072328328965,15984,-200.981393512939,0
NR postbreeding - N prebreeding,-0.288733267172445,0.00182072328328974,15984,-158.581630620306,0
NR postbreeding - S prebreeding,-0.336091323532192,0.00182072328328964,15984,-184.59220388776,0
NR postbreeding - NR prebreeding,-0.0862660727528964,0.00182072328328961,15984,-47.3801118185484,0
NR postbreeding - R prebreeding,-0.476738075920363,0.00182072328328957,15984,-261.839940366457,0
R postbreeding - N nonbreeding,0.136750591757948,0.00182072328328963,15984,75.1078392927843,0
R postbreeding - S nonbreeding,-0.0266400007329397,0.00182072328328965,15984,-14.6315483398482,4.70622270399672e-47
R postbreeding - NR nonbreeding,0.424461013037465,0.00182072328328968,15984,233.127689931305,0
R postbreeding - R nonbreeding,0.0702861886912672,0.00182072328328954,15984,38.6034436623886,2.90264790522399e-310
R postbreeding - N prebreeding,0.147484424195829,0.00182072328328966,15984,81.0032065550105,0
R postbreeding - S prebreeding,0.100126367836082,0.00182072328328961,15984,54.992633287568,0
