X1,estimate,SE,df,t.ratio,p.value
N breeding - NR breeding,-0.0450705150322963,0.0207268744288947,321.663987762339,-2.17449645806049,1
N breeding - R breeding,-0.0257094630958577,0.0160154149844628,321.663987762339,-1.60529484379889,1
N breeding - S breeding,-0.0144285962264601,0.0161322732544167,321.663987762339,-0.894393245075354,1
N breeding - N postbreeding,-0.0719836294762794,0.00554889977055396,702.000000000164,-12.9725950103246,1.41582100681255e-32
N breeding - NR postbreeding,-0.0547866704363478,0.0207268744288947,321.663987762339,-2.64326734956098,0.697660097001532
N breeding - R postbreeding,-0.0251240800306454,0.0160154149844628,321.663987762346,-1.56874361701019,1
N breeding - S postbreeding,-0.0877334304572996,0.0161322732544167,321.663987762346,-5.43837989065055,1.17237600617733e-05
N breeding - N nonbreeding,-0.0173080916813118,0.00554889977055396,702.000000000128,-3.11919342518308,0.179327651235824
N breeding - NR nonbreeding,-0.052980516664936,0.0207268744288947,321.663987762339,-2.55612667730921,0.872448111433036
N breeding - R nonbreeding,-0.0499725462618876,0.0160154149844628,321.663987762346,-3.12027795160899,0.183254536060589
N breeding - S nonbreeding,-0.115534867925305,0.0161322732544167,321.663987762346,-7.16172272210139,6.16292345135283e-10
N breeding - N prebreeding,-0.0748263800431316,0.00554889977055395,702.000000000092,-13.4849038795418,6.10250495344368e-35
N breeding - NR prebreeding,-0.0437036113194187,0.0207268744288947,321.663987762339,-2.108548081832,1
N breeding - R prebreeding,-0.0516968803990341,0.0160154149844628,321.663987762346,-3.22794510471238,0.132034819082178
N breeding - S prebreeding,-0.0957430629398491,0.0161322732544167,321.663987762346,-5.93487733749095,8.44419337177091e-07
NR breeding - R breeding,0.0193610519364386,0.0231031434355887,321.663987762331,0.838026738240922,1
NR breeding - S breeding,0.0306419188058362,0.023184304169761,321.663987762331,1.32166652841805,1
NR breeding - N postbreeding,-0.0269131144439832,0.0207268744288947,321.663987762331,-1.29846468343844,1
NR breeding - NR postbreeding,-0.00971615540405155,0.0119526959050815,702.000000000019,-0.812884012210236,1
NR breeding - R postbreeding,0.0199464350016508,0.0231031434355887,321.663987762339,0.863364548519609,1
NR breeding - S postbreeding,-0.0426629154250033,0.023184304169761,321.663987762339,-1.8401637207921,1
NR breeding - N nonbreeding,0.0277624233509845,0.0207268744288947,321.663987762331,1.33944090056732,1
NR breeding - NR nonbreeding,-0.00791000163263974,0.0119526959050815,702.000000000019,-0.661775527082296,1
NR breeding - R nonbreeding,-0.00490203122959133,0.0231031434355887,321.663987762339,-0.212180270760909,1
NR breeding - S nonbreeding,-0.0704643528930085,0.023184304169761,321.663987762339,-3.03931282030513,0.225779394267242
NR breeding - N prebreeding,-0.0297558650108354,0.0207268744288947,321.663987762324,-1.43561756563515,1
NR breeding - NR prebreeding,0.00136690371287755,0.0119526959050815,702.000000000019,0.114359448590709,1
NR breeding - R prebreeding,-0.00662636536673781,0.0231031434355887,321.663987762339,-0.286816613731029,1
NR breeding - S prebreeding,-0.0506725479075529,0.023184304169761,321.663987762339,-2.18564023041262,1
R breeding - S breeding,0.0112808668693976,0.0190893204009306,321.663987762331,0.590951727587308,1
R breeding - N postbreeding,-0.0462741663804218,0.0160154149844628,321.663987762331,-2.88935169181155,0.35040703682339
R breeding - NR postbreeding,-0.0290772073404901,0.0231031434355887,321.663987762331,-1.25858229732058,1
R breeding - R postbreeding,0.000585383065212233,0.0085376399322011,701.999999999983,0.0685649746136945,1
R breeding - S postbreeding,-0.0620239673614419,0.0190893204009306,321.663987762339,-3.24914486523147,0.125428704357662
R breeding - N nonbreeding,0.0084013714145459,0.0160154149844628,321.663987762339,0.524580313572667,1
R breeding - NR nonbreeding,-0.0272710535690783,0.0231031434355887,321.663987762331,-1.18040446076568,1
R breeding - R nonbreeding,-0.0242630831660299,0.0085376399322011,701.999999999983,-2.84189581180599,0.387637958150188
R breeding - S nonbreeding,-0.089825404829447,0.0190893204009306,321.663987762339,-4.70553183365649,0.000403019750735764
R breeding - N prebreeding,-0.049116916947274,0.0160154149844628,321.663987762324,-3.06685259138924,0.211214356510121
R breeding - NR prebreeding,-0.017994148223561,0.0231031434355887,321.663987762331,-0.778861468515247,1
R breeding - R prebreeding,-0.0259874173031764,0.0085376399322011,701.999999999983,-3.04386428914162,0.215634240405602
R breeding - S prebreeding,-0.0700335998439914,0.0190893204009306,321.663987762339,-3.66873195970755,0.0293751947498759
S breeding - N postbreeding,-0.0575550332498193,0.0161322732544167,321.663987762331,-3.56769516249434,0.0423227164994429
S breeding - NR postbreeding,-0.0403580742098877,0.023184304169761,321.663987762331,-1.7407498588,1
S breeding - R postbreeding,-0.0106954838041853,0.0190893204009306,321.663987762339,-0.560286253232145,1
S breeding - S postbreeding,-0.0733048342308395,0.00862611524792571,701.999999999983,-8.498012387264,1.31372507324196e-14
S breeding - N nonbreeding,-0.00287949545485167,0.0161322732544167,321.663987762339,-0.1784928515306,1
S breeding - NR nonbreeding,-0.0385519204384759,0.023184304169761,321.663987762331,-1.6628456975111,1
S breeding - R nonbreeding,-0.0355439500354275,0.0190893204009306,321.663987762339,-1.86198090287671,1
S breeding - S nonbreeding,-0.101106271698845,0.00862611524792571,701.999999999983,-11.7209507168545,4.95616275101414e-27
S breeding - N prebreeding,-0.0603977838166715,0.0161322732544167,321.663987762324,-3.74391028865915,0.0225318537560333
S breeding - NR prebreeding,-0.0292750150929586,0.023184304169761,321.663987762331,-1.26270837712445,1
S breeding - R prebreeding,-0.037268284172574,0.0190893204009306,321.663987762339,-1.95231068418534,1
S breeding - S prebreeding,-0.081314466713389,0.00862611524792571,702.000000000019,-9.42654536559112,6.92911025159655e-18
N postbreeding - NR postbreeding,0.0171969590399316,0.0207268744288947,321.663987762331,0.829693791937961,1
N postbreeding - R postbreeding,0.046859549445634,0.0160154149844628,321.663987762339,2.92590291860025,0.320064396407471
N postbreeding - S postbreeding,-0.0157498009810201,0.0161322732544167,321.663987762339,-0.976291483080858,1
N postbreeding - N nonbreeding,0.0546755377949677,0.00554889977055395,702.000000000055,9.85340158514151,1.77730869387114e-19
N postbreeding - NR nonbreeding,0.0190031128113434,0.0207268744288947,321.663987762331,0.916834464189726,1
N postbreeding - R nonbreeding,0.0220110832143918,0.0160154149844628,321.663987762339,1.37436858400145,1
N postbreeding - S nonbreeding,-0.0435512384490253,0.0161322732544167,321.663987762339,-2.6996343145317,0.606613634260803
N postbreeding - N prebreeding,-0.00284275056685218,0.00554889977055395,702.000000000019,-0.512308869217219,1
N postbreeding - NR prebreeding,0.0282800181568607,0.0207268744288947,321.663987762331,1.36441305966694,1
N postbreeding - R prebreeding,0.0202867490772454,0.0160154149844628,321.663987762339,1.26670143089806,1
N postbreeding - S prebreeding,-0.0237594334635697,0.0161322732544167,321.663987762339,-1.47278892992126,1
