X1,estimate,SE,df,t.ratio,p.value
AF breeding - AH breeding,0.00632319582334125,0.0493201122710403,367.218463228967,0.128207247148829,1
AF breeding - B breeding,0.0186379541954916,0.0465848462877831,367.218463228967,0.400086201430259,1
AF breeding - F breeding,0.0164634238905746,0.0378261836823367,367.218463228948,0.435238828977144,1
AF breeding - G breeding,0.0163421798611496,0.0394358714758599,367.218463228958,0.414398851846173,1
AF breeding - GH breeding,-0.0355391501098698,0.0559399300302584,367.218463228977,-0.635309162715191,1
AF breeding - AF postbreeding,-0.0202860361630343,0.027478456379489,695.999999999808,-0.738252392451585,1
AF breeding - AH postbreeding,-0.0952926294200761,0.0493201122710403,367.218463228977,-1.93212515203518,1
AF breeding - B postbreeding,-0.0165941052383524,0.0465848462877831,367.218463228967,-0.356212514598427,1
AF breeding - F postbreeding,-0.0421008807738416,0.0378261836823367,367.218463228948,-1.11300894447623,1
AF breeding - G postbreeding,-0.0398593754613928,0.0394358714758599,367.218463228948,-1.01073905481693,1
AF breeding - GH postbreeding,-0.0754453646450053,0.0559399300302584,367.218463228987,-1.34868535953113,1
AF breeding - AF nonbreeding,0.0374441158586085,0.027478456379489,695.999999999878,1.36267173604985,1
AF breeding - AH nonbreeding,-0.0663942842687998,0.0493201122710403,367.218463228977,-1.34619085828369,1
AF breeding - B nonbreeding,-0.0641885017034391,0.0465848462877831,367.218463228967,-1.37788372868953,1
AF breeding - F nonbreeding,-0.0169265315882328,0.0378261836823367,367.218463228938,-0.447481874734746,1
AF breeding - G nonbreeding,-0.041690759320523,0.0394358714758599,367.218463228948,-1.05717859807012,1
AF breeding - GH nonbreeding,-0.0935203744203025,0.0559399300302584,367.218463228977,-1.67179998919763,1
AF breeding - AF prebreeding,-0.0344480243079763,0.027478456379489,696.000000000162,-1.25363753451921,1
AF breeding - AH prebreeding,-0.100164267560592,0.0493201122710403,367.218463228967,-2.03090104519908,1
AF breeding - B prebreeding,-0.0366133569232173,0.0465848462877831,367.218463228967,-0.785949935243624,1
AF breeding - F prebreeding,-0.0611415696215995,0.0378261836823367,367.218463228948,-1.61638219004764,1
AF breeding - G prebreeding,-0.0582773565418655,0.0394358714758599,367.218463228948,-1.47777529342896,1
