X1,estimate,SE,df,t.ratio,p.value
AF breeding - AH breeding,-0.00372288550845329,0.0484207662046327,348.079195196457,-0.0768861337864806,1
AF breeding - B breeding,0.0121704889827862,0.0457353774537924,348.079195196597,0.266106669723724,1
AF breeding - F breeding,0.00955265116294509,0.0371364279633066,348.079195197237,0.257231287090503,1
AF breeding - G breeding,0.0113091749482954,0.0387167633016438,348.079195197071,0.292100216647379,1
AF breeding - GH breeding,-0.0331474560971439,0.0549198724166171,348.079195196221,-0.603560325954334,1
AF breeding - AF postbreeding,-0.0186299771231298,0.025438711518392,696.000000001084,-0.732347513342428,1
AF breeding - AH postbreeding,-0.0944728854529132,0.0484207662046327,348.079195196457,-1.95108200175226,1
AF breeding - B postbreeding,-0.0195827441654872,0.0457353774537924,348.079195196589,-0.428174976477938,1
AF breeding - F postbreeding,-0.0408721437537064,0.0371364279633066,348.079195197237,-1.10059437579971,1
AF breeding - G postbreeding,-0.0367031147231603,0.0387167633016438,348.079195197071,-0.947990265539631,1
AF breeding - GH postbreeding,-0.0654210879815058,0.0549198724166171,348.079195196221,-1.19120975892346,1
AF breeding - AF nonbreeding,0.0373207406781699,0.025438711518392,696.000000000658,1.46708455147924,1
AF breeding - AH nonbreeding,-0.0687992397800562,0.0484207662046327,348.079195196457,-1.42086226990505,1
AF breeding - B nonbreeding,-0.0658672805746579,0.0457353774537924,348.079195196597,-1.44018228867151,1
AF breeding - F nonbreeding,-0.0190526449977967,0.0371364279633066,348.079195197228,-0.5130446314498,1
AF breeding - G nonbreeding,-0.0403515896129923,0.0387167633016438,348.079195197071,-1.04222528362228,1
AF breeding - GH nonbreeding,-0.0817723399575009,0.0549198724166171,348.079195196221,-1.48893900075338,1
AF breeding - AF prebreeding,-0.0339455241884505,0.0254387115183919,696.00000000002,-1.33440422734887,1
AF breeding - AH prebreeding,-0.100912122235023,0.0484207662046327,348.079195196466,-2.08406702629517,1
AF breeding - B prebreeding,-0.0394175065150132,0.0457353774537924,348.079195196597,-0.861860308354024,1
AF breeding - F prebreeding,-0.0613922244875152,0.0371364279633066,348.079195197228,-1.6531537321838,1
AF breeding - G prebreeding,-0.0562757575400334,0.0387167633016438,348.079195197071,-1.4535243326408,1
AF breeding - GH prebreeding,-0.0690045076249831,0.0549198724166171,348.079195196221,-1.25645790109491,1
AH breeding - B breeding,0.0158933744912395,0.0435470305247249,348.079195195371,0.364970338958373,1
AH breeding - F breeding,0.0132755366713984,0.0344054268765019,348.079195195379,0.385855891835054,1
AH breeding - G breeding,0.0150320604567487,0.0361054964961842,348.079195195371,0.416337176206326,1
AH breeding - GH breeding,-0.0294245705886906,0.053111312381996,348.079195195371,-0.554017011989053,1
AH breeding - AF postbreeding,-0.0149070916146765,0.0484207662046325,348.0791951958,-0.307865669693809,1
AH breeding - AH postbreeding,-0.0907499999444599,0.0234002111773438,695.999999999985,-3.87817012661513,0.0308791986479989
AH breeding - B postbreeding,-0.0158598586570339,0.0435470305247249,348.079195195371,-0.364200692123636,1
AH breeding - F postbreeding,-0.0371492582452531,0.0344054268765019,348.079195195379,-1.07974995859229,1
AH breeding - G postbreeding,-0.032980229214707,0.0361054964961842,348.079195195379,-0.913440678435001,1
AH breeding - GH postbreeding,-0.0616982024730525,0.053111312381996,348.079195195379,-1.16167723420759,1
AH breeding - AF nonbreeding,0.0410436261866232,0.0484207662046324,348.0791951958,0.84764512013642,1
AH breeding - AH nonbreeding,-0.0650763542716029,0.0234002111773438,695.999999999985,-2.78101568308111,1
AH breeding - B nonbreeding,-0.0621443950662046,0.0435470305247249,348.079195195371,-1.42706389660532,1
AH breeding - F nonbreeding,-0.0153297594893434,0.0344054268765019,348.079195195379,-0.44556225226821,1
AH breeding - G nonbreeding,-0.036628704104539,0.0361054964961842,348.079195195379,-1.01449107917433,1
AH breeding - GH nonbreeding,-0.0780494544490476,0.053111312381996,348.079195195379,-1.46954482856096,1
AH breeding - AF prebreeding,-0.0302226386799972,0.0484207662046324,348.079195195765,-0.624166882289148,1
AH breeding - AH prebreeding,-0.0971892367265694,0.0234002111773438,695.999999999985,-4.15334870228302,0.00994592655181172
AH breeding - B prebreeding,-0.0356946210065599,0.0435470305247249,348.079195195371,-0.819679793925178,1
AH breeding - F prebreeding,-0.057669338979062,0.0344054268765019,348.079195195379,-1.67616984338156,1
