X1,estimate,SE,df,t.ratio,p.value
N breeding - NR breeding,-0.0394579511105479,0.0294835099861717,322.654801694486,-1.33830575562592,1
N breeding - R breeding,-0.023534237554696,0.0227815655103708,322.654801694494,-1.03303864451205,1
N breeding - S breeding,-0.0109739212152493,0.022947793755781,322.654801694494,-0.478212473584079,1
N breeding - N postbreeding,-0.091923684768083,0.00792959018705437,702.000000000019,-11.5924887162712,1.75369223556343e-26
N breeding - NR postbreeding,-0.0575651612455711,0.0294835099861717,322.654801694486,-1.95245278708574,1
N breeding - R postbreeding,-0.0191319788580139,0.0227815655103708,322.654801694494,-0.83980088415366,1
N breeding - S postbreeding,-0.113467228605923,0.022947793755781,322.654801694494,-4.9445811572774,0.000132778080446854
N breeding - N nonbreeding,-0.0203468137089568,0.00792959018705437,702.000000000019,-2.56593508983282,0.82920136686406
N breeding - NR nonbreeding,-0.0809070655119421,0.0294835099861717,322.654801694486,-2.74414632280515,0.525318625458925
N breeding - R nonbreeding,-0.0606789991180978,0.0227815655103708,322.654801694494,-2.66351314138069,0.64968231337044
N breeding - S nonbreeding,-0.161580991020833,0.022947793755781,322.654801694494,-7.04124295086659,1.30290432330098e-09
N breeding - N prebreeding,-0.0998319919950657,0.00792959018705437,702.000000000019,-12.5898047238366,7.73873886992583e-31
N breeding - NR prebreeding,-0.0543299065165907,0.0294835099861717,322.654801694486,-1.84272179744109,1
N breeding - R prebreeding,-0.0636460258749987,0.0227815655103708,322.654801694494,-2.79375119528222,0.458276810026998
N breeding - S prebreeding,-0.123195127993236,0.022947793755781,322.654801694494,-5.36849552093436,1.68788883485573e-05
NR breeding - R breeding,0.0159237135558519,0.0328636988915973,322.654801694456,0.484538079793671,1
NR breeding - S breeding,0.0284840298952986,0.0329791481999174,322.654801694456,0.863698168389018,1
NR breeding - N postbreeding,-0.0524657336575351,0.0294835099861717,322.654801694479,-1.77949415392341,1
NR breeding - NR postbreeding,-0.0181072101350232,0.0170808600041297,702.000000000019,-1.06008773156886,1
NR breeding - R postbreeding,0.020325972252534,0.0328636988915973,322.654801694464,0.618493137962965,1
NR breeding - S postbreeding,-0.0740092774953746,0.0329791481999174,322.654801694464,-2.24412337901317,1
NR breeding - N nonbreeding,0.0191111374015912,0.0294835099861717,322.654801694479,0.648197497874393,1
NR breeding - NR nonbreeding,-0.0414491144013941,0.0170808600041297,702.000000000019,-2.42664095317055,1
NR breeding - R nonbreeding,-0.0212210480075498,0.0328636988915973,322.654801694464,-0.645729139545388,1
NR breeding - S nonbreeding,-0.122123039910285,0.0329791481999174,322.654801694464,-3.70303802784667,0.0253006807631839
NR breeding - N prebreeding,-0.0603740408845178,0.0294835099861717,322.654801694479,-2.04772230012079,1
NR breeding - NR prebreeding,-0.0148719554060428,0.0170808600041297,702.000000000019,-0.870679544381673,1
NR breeding - R prebreeding,-0.0241880747644508,0.0328636988915973,322.654801694464,-0.736011939624827,1
NR breeding - S prebreeding,-0.0837371768826878,0.0329791481999174,322.654801694464,-2.53909459319806,0.903492516304235
R breeding - S breeding,0.0125603163394467,0.027154126426581,322.654801694456,0.462556450615604,1
R breeding - N postbreeding,-0.068389447213387,0.0227815655103708,322.654801694486,-3.00196433744881,0.242911911302753
R breeding - NR postbreeding,-0.0340309236908751,0.0328636988915973,322.654801694464,-1.03551714623263,1
R breeding - R postbreeding,0.00440225869668207,0.0122006142886641,702.000000000019,0.360822708801828,1
R breeding - S postbreeding,-0.0899329910512265,0.027154126426581,322.654801694456,-3.31194565564045,0.0949059341870888
R breeding - N nonbreeding,0.00318742384573923,0.0227815655103708,322.654801694486,0.139912414899153,1
R breeding - NR nonbreeding,-0.0573728279572461,0.0328636988915973,322.654801694464,-1.74578120821072,1
R breeding - R nonbreeding,-0.0371447615634017,0.0122006142886641,702.000000000019,-3.04449929196712,0.207932094290316
R breeding - S nonbreeding,-0.138046753466137,0.027154126426581,322.654801694456,-5.08382230006132,6.84624856825077e-05
R breeding - N prebreeding,-0.0762977544403697,0.0227815655103708,322.654801694494,-3.34910058773778,0.0843284131285452
R breeding - NR prebreeding,-0.0307956689618947,0.0328636988915973,322.654801694464,-0.937072514675721,1
R breeding - R prebreeding,-0.0401117883203027,0.0122006142886641,702.000000000019,-3.28768596164634,0.0965034172406564
R breeding - S prebreeding,-0.0996608904385397,0.027154126426581,322.654801694456,-3.67019321015543,0.0283314750914184
S breeding - N postbreeding,-0.0809497635528337,0.022947793755781,322.654801694486,-3.52756192662055,0.0461025819456045
S breeding - NR postbreeding,-0.0465912400303218,0.0329791481999174,322.654801694464,-1.41274843570516,1
S breeding - R postbreeding,-0.00815805764276464,0.027154126426581,322.654801694456,-0.300435282454116,1
S breeding - S postbreeding,-0.102493307390673,0.0123270489017183,702.000000000019,-8.31450481034327,5.43924928062521e-14
S breeding - N nonbreeding,-0.00937289249370747,0.022947793755781,322.654801694486,-0.408444166504951,1
S breeding - NR nonbreeding,-0.0699331442966928,0.0329791481999174,322.654801694464,-2.12052609342008,1
S breeding - R nonbreeding,-0.0497050779028484,0.027154126426581,322.654801694456,-1.83047972606449,1
S breeding - S nonbreeding,-0.150607069805584,0.0123270489017183,702.000000000019,-12.2176095030004,3.46780042365349e-29
S breeding - N prebreeding,-0.0888580707798164,0.022947793755781,322.654801694494,-3.8721836062097,0.0135813937175443
S breeding - NR prebreeding,-0.0433559853013414,0.0329791481999174,322.654801694464,-1.31464842689448,1
S breeding - R prebreeding,-0.0526721046597494,0.027154126426581,322.654801694456,-1.93974587259007,1
S breeding - S prebreeding,-0.112221206777986,0.0123270489017183,702.000000000019,-9.10365551988229,1.03570204462953e-16
N postbreeding - NR postbreeding,0.0343585235225119,0.0294835099861717,322.654801694479,1.1653471224636,1
N postbreeding - R postbreeding,0.0727917059100691,0.0227815655103708,322.654801694486,3.19520209780721,0.136653588585843
N postbreeding - S postbreeding,-0.0215435438378395,0.022947793755781,322.654801694479,-0.93880675707277,1
N postbreeding - N nonbreeding,0.0715768710591263,0.00792959018705437,702.000000000019,9.02655362643844,1.93388836228246e-16
N postbreeding - NR nonbreeding,0.011016619256141,0.0294835099861717,322.654801694479,0.373653586744182,1
N postbreeding - R nonbreeding,0.0312446856499853,0.0227815655103708,322.654801694486,1.37148984058018,1
N postbreeding - S nonbreeding,-0.0696573062527501,0.022947793755781,322.654801694486,-3.03546855066196,0.220749963376411
N postbreeding - N prebreeding,-0.00790830722698267,0.00792959018705437,702.000000000019,-0.997316007565379,1
