X1,estimate,SE,df,t.ratio,p.value
N breeding - NR breeding,-0.0348965557213203,0.025279798160941,331.422688104815,-1.38041275089126,1
N breeding - R breeding,-0.0168737471299009,0.0195334062383531,331.422688104799,-0.863840485576441,1
N breeding - S breeding,-0.00631495756056113,0.0196759339256803,331.422688104799,-0.320948300823428,1
N breeding - N postbreeding,-0.0658189898876257,0.00706437483628313,701.999999999983,-9.31702966121994,1.77312818381931e-17
N breeding - NR postbreeding,-0.0539828448924307,0.025279798160941,331.422688104815,-2.1354143948759,1
N breeding - R postbreeding,-0.00859807663276858,0.0195334062383531,331.422688104807,-0.440172928768899,1
N breeding - S postbreeding,-0.0867138113862961,0.0196759339256803,331.422688104799,-4.40710015157758,0.00150178938043212
N breeding - N nonbreeding,-0.0020768628820714,0.00706437483628313,701.999999999947,-0.293991036744608,1
N breeding - NR nonbreeding,-0.0751091580307387,0.025279798160941,331.422688104815,-2.97111383376421,0.28019418301025
N breeding - R nonbreeding,-0.0480959867399189,0.0195334062383531,331.422688104807,-2.46224269095905,1
N breeding - S nonbreeding,-0.135226817254254,0.0196759339256803,331.422688104799,-6.87270132970719,3.54131578110186e-09
N breeding - N prebreeding,-0.078308461595107,0.00706437483628313,701.999999999983,-11.0849811073032,2.37641660723884e-24
N breeding - NR prebreeding,-0.0478787472912814,0.025279798160941,331.422688104822,-1.89395291000611,1
N breeding - R prebreeding,-0.0543803564924131,0.0195334062383531,331.422688104807,-2.78396690412547,0.46560814186862
N breeding - S prebreeding,-0.105443664877355,0.0196759339256803,331.422688104799,-5.35901702433214,1.72711503670451e-05
NR breeding - R breeding,0.0180228085914195,0.0281780451239069,331.42268810483,0.639604646531299,1
NR breeding - S breeding,0.0285815981607592,0.0282770338539978,331.422688104838,1.01077073035078,1
NR breeding - N postbreeding,-0.0309224341663054,0.025279798160941,331.422688104822,-1.22320732030538,1
NR breeding - NR postbreeding,-0.0190862891711103,0.0152171291011034,702.000000000019,-1.25426347140121,1
NR breeding - R postbreeding,0.0262984790885518,0.0281780451239069,331.422688104838,0.933296790920372,1
NR breeding - S postbreeding,-0.0518172556649757,0.0282770338539978,331.422688104838,-1.8324855404751,1
NR breeding - N nonbreeding,0.0328196928392489,0.025279798160941,331.422688104822,1.29825770879601,1
NR breeding - NR nonbreeding,-0.0402126023094184,0.0152171291011034,702.000000000019,-2.64258797058524,0.664462467967948
NR breeding - R nonbreeding,-0.0131994310185986,0.0281780451239069,331.422688104838,-0.468429621734116,1
NR breeding - S nonbreeding,-0.100330261532933,0.0282770338539978,331.422688104838,-3.54811830869414,0.0430662545138451
NR breeding - N prebreeding,-0.0434119058737866,0.025279798160941,331.422688104822,-1.71725682291487,1
NR breeding - NR prebreeding,-0.012982191569961,0.0152171291011034,702.000000000019,-0.853130145884068,1
NR breeding - R prebreeding,-0.0194838007710927,0.0281780451239069,331.422688104838,-0.691453246150217,1
NR breeding - S prebreeding,-0.0705471091560347,0.0282770338539978,331.422688104838,-2.49485534870061,1
R breeding - S breeding,0.0105587895693397,0.02328253439372,331.42268810483,0.453506881630023,1
R breeding - N postbreeding,-0.0489452427577249,0.0195334062383531,331.422688104799,-2.50571979922389,0.990537979964224
R breeding - NR postbreeding,-0.0371090977625298,0.0281780451239069,331.422688104838,-1.3169507536577,1
R breeding - R postbreeding,0.00827567049713228,0.0108693779293596,701.999999999983,0.761374804603918,1
R breeding - S postbreeding,-0.0698400642563952,0.02328253439372,331.42268810483,-2.99967619827647,0.258753651231409
R breeding - N nonbreeding,0.0147968842478295,0.0195334062383531,331.422688104799,0.757516844081004,1
R breeding - NR nonbreeding,-0.0582354109008379,0.0281780451239069,331.422688104838,-2.06669450079876,1
R breeding - R nonbreeding,-0.031222239610018,0.0108693779293596,702.000000000019,-2.87249553865293,0.352407134467828
R breeding - S nonbreeding,-0.118353070124353,0.02328253439372,331.42268810483,-5.08334136322703,6.70933546945319e-05
R breeding - N prebreeding,-0.0614347144652061,0.0195334062383531,331.422688104807,-3.14511016233212,0.166571524317964
R breeding - NR prebreeding,-0.0310050001613805,0.0281780451239069,331.422688104838,-1.10032473952833,1
R breeding - R prebreeding,-0.0375066093625122,0.0108693779293596,702.000000000019,-3.45066751807406,0.0557110826134901
R breeding - S prebreeding,-0.0885699177474542,0.02328253439372,331.42268810483,-3.80413559149918,0.0172802772418071
S breeding - N postbreeding,-0.0595040323270646,0.0196759339256803,331.422688104807,-3.02420370752527,0.241877891163191
S breeding - NR postbreeding,-0.0476678873318696,0.0282770338539978,331.422688104838,-1.68574566830425,1
S breeding - R postbreeding,-0.00228311907220745,0.02328253439372,331.42268810483,-0.0980614495655282,1
S breeding - S postbreeding,-0.0803988538257349,0.0109820169785192,701.999999999983,-7.32095515632466,7.70805302203091e-11
S breeding - N nonbreeding,0.00423809467848973,0.0196759339256803,331.422688104799,0.215394841967747,1
S breeding - NR nonbreeding,-0.0687942004701776,0.0282770338539978,331.422688104838,-2.43286480560094,1
S breeding - R nonbreeding,-0.0417810291793578,0.02328253439372,331.42268810483,-1.79452238630118,1
S breeding - S nonbreeding,-0.128911859693693,0.0109820169785192,702.000000000019,-11.7384502269341,4.24009519507205e-27
S breeding - N prebreeding,-0.0719935040345459,0.0196759339256803,331.422688104807,-3.65896248211032,0.0294517058454769
S breeding - NR prebreeding,-0.0415637897307203,0.0282770338539978,331.422688104838,-1.46987799163539,1
S breeding - R prebreeding,-0.0480653989318519,0.02328253439372,331.42268810483,-2.06444015582842,1
S breeding - S prebreeding,-0.0991287073167939,0.0109820169785192,702.000000000019,-9.02645729930027,1.95224330390729e-16
N postbreeding - NR postbreeding,0.0118361449951951,0.025279798160941,331.422688104822,0.468205676320736,1
N postbreeding - R postbreeding,0.0572209132548572,0.0195334062383531,331.422688104807,2.92938735603143,0.315958990950406
N postbreeding - S postbreeding,-0.0208948214986703,0.0196759339256803,331.422688104807,-1.06194814322888,1
N postbreeding - N nonbreeding,0.0637421270055543,0.00706437483628313,701.999999999983,9.02303862447534,1.99032314167539e-16
N postbreeding - NR nonbreeding,-0.00929016814311298,0.025279798160941,331.422688104822,-0.367493762567572,1
N postbreeding - R nonbreeding,0.0177230031477068,0.0195334062383531,331.422688104807,0.907317593841281,1
N postbreeding - S nonbreeding,-0.0694078273666281,0.0196759339256803,331.422688104807,-3.52754932135849,0.0459436684149704
N postbreeding - N prebreeding,-0.0124894717074812,0.00706437483628313,701.999999999983,-1.7679514460833,1
N postbreeding - NR prebreeding,0.0179402425963444,0.025279798160941,331.422688104822,0.709667161190522,1
N postbreeding - R prebreeding,0.0114386333952127,0.0195334062383531,331.422688104807,0.585593380674863,1
N postbreeding - S prebreeding,-0.0396246749897293,0.0196759339256803,331.422688104807,-2.01386501598344,1
NR postbreeding - R postbreeding,0.0453847682596621,0.0281780451239069,331.422688104838,1.61064289804677,1
NR postbreeding - S postbreeding,-0.0327309664938654,0.0282770338539978,331.422688104838,-1.15751060252163,1
NR postbreeding - N nonbreeding,0.0519059820103593,0.025279798160941,331.422688104822,2.05325935278066,1
NR postbreeding - NR nonbreeding,-0.021126313138308,0.0152171291011034,702.000000000019,-1.38832449918403,1
NR postbreeding - R nonbreeding,0.00588685815251178,0.0281780451239069,331.422688104838,0.208916485392283,1
NR postbreeding - S nonbreeding,-0.0812439723618231,0.0282770338539978,331.422688104838,-2.87314337074067,0.359075739470335
NR postbreeding - N prebreeding,-0.0243256167026763,0.025279798160941,331.422688104822,-0.962255178930228,1
NR postbreeding - NR prebreeding,0.00610409760114931,0.0152171291011034,702.000000000019,0.401133325517143,1
NR postbreeding - R prebreeding,-0.000397511599982386,0.0281780451239069,331.422688104838,-0.0141071390238185,1
NR postbreeding - S prebreeding,-0.0514608199849243,0.0282770338539978,331.422688104838,-1.81988041074714,1
R postbreeding - S postbreeding,-0.0781157347535275,0.02328253439372,331.422688104838,-3.35512163034096,0.0823346121614139
R postbreeding - N nonbreeding,0.00652121375069719,0.0195334062383531,331.422688104807,0.333849287273462,1
R postbreeding - NR nonbreeding,-0.0665110813979701,0.0281780451239069,331.422688104838,-2.36038664518784,1
R postbreeding - R nonbreeding,-0.0394979101071503,0.0108693779293596,702.000000000019,-3.63387034325685,0.0296578781744765
R postbreeding - S nonbreeding,-0.126628740621485,0.02328253439372,331.422688104838,-5.43878679529152,1.15828234480598e-05
R postbreeding - N prebreeding,-0.0697103849623384,0.0195334062383531,331.422688104807,-3.56877771913966,0.0403371117421429
R postbreeding - NR prebreeding,-0.0392806706585128,0.0281780451239069,331.422688104838,-1.39401688391741,1
R postbreeding - R prebreeding,-0.0457822798596445,0.0108693779293596,702.000000000019,-4.21204232267798,0.00297486656459257
R postbreeding - S prebreeding,-0.0968455882445864,0.02328253439372,331.422688104838,-4.15958102356368,0.00418806225748264
S postbreeding - N nonbreeding,0.0846369485042247,0.0196759339256803,331.422688104807,4.3015466927219,0.00234619465416716
S postbreeding - NR nonbreeding,0.0116046533555574,0.0282770338539978,331.422688104838,0.410391465224939,1
S postbreeding - R nonbreeding,0.0386178246463772,0.02328253439372,331.422688104838,1.65866069360531,1
S postbreeding - S nonbreeding,-0.0485130058679577,0.0109820169785192,702.000000000019,-4.41749507060945,0.00123711537983061
S postbreeding - N prebreeding,0.00840534979118909,0.0196759339256803,331.422688104815,0.42718936864383,1
S postbreeding - NR prebreeding,0.0388350640950147,0.0282770338539978,331.422688104838,1.37337827919049,1
S postbreeding - R prebreeding,0.032333454893883,0.02328253439372,331.422688104838,1.38874292407807,1
S postbreeding - S prebreeding,-0.0187298534910589,0.0109820169785192,702.000000000019,-1.70550214297561,1
N nonbreeding - NR nonbreeding,-0.0730322951486673,0.025279798160941,331.422688104822,-2.88895879166896,0.350167042875801
N nonbreeding - R nonbreeding,-0.0460191238578475,0.0195334062383531,331.422688104807,-2.35591904946361,1
N nonbreeding - S nonbreeding,-0.133149954372182,0.0196759339256803,331.422688104807,-6.76714787085151,6.68490645270416e-09
N nonbreeding - N prebreeding,-0.0762315987130356,0.00706437483628313,701.999999999983,-10.7909900705586,3.76023173387695e-23
N nonbreeding - NR prebreeding,-0.04580188440921,0.025279798160941,331.422688104822,-1.81179786791087,1
N nonbreeding - R prebreeding,-0.0523034936103417,0.0195334062383531,331.422688104807,-2.67764326263003,0.622671640988812
N nonbreeding - S prebreeding,-0.103366801995284,0.0196759339256803,331.422688104807,-5.25346356547646,2.91736223491084e-05
NR nonbreeding - R nonbreeding,0.0270131712908198,0.0281780451239069,331.422688104838,0.958660232533349,1
NR nonbreeding - S nonbreeding,-0.0601176592235151,0.0282770338539978,331.422688104838,-2.12602423344398,1
NR nonbreeding - N prebreeding,-0.00319930356436826,0.025279798160941,331.422688104822,-0.12655574004192,1
NR nonbreeding - NR prebreeding,0.0272304107394573,0.0152171291011034,702.000000000019,1.78945782470117,1
NR nonbreeding - R prebreeding,0.0207288015383256,0.0281780451239069,331.422688104838,0.735636608117248,1
NR nonbreeding - S prebreeding,-0.0303345068466163,0.0282770338539978,331.422688104838,-1.07276127345045,1
R nonbreeding - S nonbreeding,-0.0871308305143349,0.02328253439372,331.422688104838,-3.74232585855587,0.0216995018801019
R nonbreeding - N prebreeding,-0.0302124748551881,0.0195334062383531,331.422688104807,-1.54670795694951,1
R nonbreeding - NR prebreeding,0.000217239448637531,0.0281780451239069,331.422688104838,0.00770952873708121,1
