X1,estimate,SE,df,t.ratio,p.value
C breeding - F breeding,0.0104403860156061,0.0487312328883084,371.215084884884,0.21424424125561,1
C breeding - G breeding,0.0382171934221205,0.0446122457217705,371.215084885064,0.856652535729013,1
C breeding - I breeding,0.0454924481795979,0.0409205481319616,371.215084885283,1.11172626605325,1
C breeding - O breeding,0.04729298757586,0.0479121622366113,371.215084884914,0.987076879192103,1
C breeding - C postbreeding,-0.0450987389938848,0.0303222544504149,698.999999999868,-1.48731483892906,1
C breeding - F postbreeding,-0.0628063345385401,0.0487312328883084,371.215084884884,-1.28883122416565,1
C breeding - G postbreeding,-0.0187215684803074,0.0446122457217705,371.215084885054,-0.419650886823019,1
C breeding - I postbreeding,-0.0178403665319777,0.0409205481319616,371.215084885283,-0.435975746816626,1
C breeding - O postbreeding,0.0578046204846486,0.0479121622366113,371.215084884924,1.20647071194959,1
C breeding - C nonbreeding,-0.0425809986252112,0.0303222544504149,698.999999999761,-1.4042820824831,1
C breeding - F nonbreeding,-0.0647685949290361,0.0487312328883084,371.215084884884,-1.32909822079579,1
C breeding - G nonbreeding,-0.0373563060508539,0.0446122457217706,371.215084885054,-0.837355426665379,1
C breeding - I nonbreeding,0.00848823834804401,0.0409205481319616,371.215084885273,0.207432176144633,1
C breeding - O nonbreeding,0.0440657254268184,0.0479121622366113,371.215084884914,0.919718989287156,1
C breeding - C prebreeding,-0.0470402960402085,0.030322254450415,698.999999999976,-1.55134560054339,1
C breeding - F prebreeding,-0.053681271520304,0.0487312328883084,371.215084884884,-1.1015783582439,1
C breeding - G prebreeding,-0.030456850674597,0.0446122457217705,371.215084885064,-0.682701580739617,1
C breeding - I prebreeding,-0.037513723180727,0.0409205481319616,371.215084885283,-0.916745373491864,1
C breeding - O prebreeding,0.0178282840645305,0.0479121622366113,371.215084884914,0.372103516774857,1
F breeding - G breeding,0.0277768074065145,0.0346218829942691,371.215084883936,0.802290488102923,1
F breeding - I breeding,0.0350520621639918,0.0297138616330731,371.215084883936,1.1796535434148,1
F breeding - O breeding,0.0368526015602539,0.0387814079671766,371.215084883936,0.95026466268179,1
F breeding - C postbreeding,-0.0555391250094909,0.0487312328883082,371.215084884305,-1.13970285005484,1
F breeding - F postbreeding,-0.0732467205541462,0.0214410717427524,699.000000000011,-3.41618746641736,0.119578352496735
F breeding - G postbreeding,-0.0291619544959135,0.0346218829942691,371.215084883936,-0.842298337751896,1
