X1,estimate,SE,df,t.ratio,p.value
C breeding - F breeding,-0.00110448877928121,0.0479299845800747,352.141015975916,-0.0230437958400756,1
C breeding - G breeding,0.0274271083301468,0.0438787225931285,352.141015975889,0.625066244167326,1
C breeding - I breeding,0.0360954737157882,0.0402477246054697,352.141015975844,0.896832655003877,1
C breeding - O breeding,0.0409672874879846,0.0471243812456431,352.141015975916,0.869343775028818,1
C breeding - C postbreeding,-0.037369844201844,0.0281731329540254,698.999999999189,-1.32643551793925,1
C breeding - F postbreeding,-0.0672255165888174,0.0479299845800747,352.141015975925,-1.40257747165569,1
C breeding - G postbreeding,-0.0208237683074522,0.0438787225931285,352.141015975889,-0.474575536315026,1
C breeding - I postbreeding,-0.0189426361184322,0.0402477246054697,352.141015975844,-0.470651106469207,1
C breeding - O postbreeding,0.0527390739542079,0.0471243812456431,352.141015975916,1.11914623725874,1
C breeding - C nonbreeding,-0.0362507405697641,0.0281731329540256,698.99999999969,-1.28671314720021,1
C breeding - F nonbreeding,-0.0527516847069952,0.0479299845800747,352.141015975925,-1.10059882491439,1
C breeding - G nonbreeding,-0.0367899916804912,0.0438787225931285,352.141015975889,-0.83844719048983,1
C breeding - I nonbreeding,0.00155252427111784,0.0402477246054697,352.141015975844,0.0385742122402332,1
C breeding - O nonbreeding,0.0373830198541728,0.0471243812456431,352.141015975925,0.793284046729613,1
C breeding - C prebreeding,-0.0418556896135221,0.0281731329540255,698.999999999439,-1.48565974830788,1
C breeding - F prebreeding,-0.0531066335340466,0.0479299845800747,352.141015975925,-1.10800439431236,1
C breeding - G prebreeding,-0.0347135288294051,0.0438787225931285,352.141015975889,-0.791124416982033,1
C breeding - I prebreeding,-0.0405070342122464,0.0402477246054697,352.141015975835,-1.00644283892614,1
C breeding - O prebreeding,0.0126330477487123,0.0471243812456431,352.141015975916,0.268078803684669,1
F breeding - G breeding,0.028531597109428,0.0340526233319565,352.141015976131,0.837867815095839,1
F breeding - I breeding,0.0371999624950694,0.0292253006024081,352.141015976131,1.27286843003436,1
F breeding - O breeding,0.0420717762672658,0.0381437565948623,352.141015976131,1.10297936079355,1
F breeding - C postbreeding,-0.0362653554225628,0.0479299845800744,352.141015975351,-0.756631902561452,1
F breeding - F postbreeding,-0.0661210278095361,0.0199214133590616,698.999999999976,-3.31909320979276,0.171940660019864
F breeding - G postbreeding,-0.019719279528171,0.0340526233319565,352.141015976131,-0.579082537516736,1
